Gene	sgRNA	NK_vs_Control|beta	NK_vs_Control|z	NK_vs_Control|p-value	NK_vs_Control|fdr	NK_vs_Control|wald-p-value	NK_vs_Control|wald-fdr
AATK	4	0.018758	0.15959	0.90532	0.99731	0.8732	1
ABAT	4	-0.078124	-0.88724	0.35361	0.95672	0.37495	1
ABCA1	4	-0.096387	-0.90652	0.26482	0.93425	0.36466	1
ABCA10	4	-0.021536	-0.20677	0.74263	0.99276	0.83619	1
ABCA12	4	-0.11802	-0.71524	0.18225	0.88267	0.47446	1
ABCA13	4	-0.13554	-1.1128	0.13427	0.86037	0.2658	1
ABCA2	4	0.037109	0.40492	0.74497	0.99276	0.68554	1
ABCA3	4	-0.038732	-0.40489	0.60336	0.98163	0.68556	1
ABCA4	4	0.051982	0.50013	0.62248	0.98433	0.61698	1
ABCA5	4	-0.039633	-0.29027	0.59713	0.98163	0.77161	1
ABCA6	4	0.047308	0.29667	0.65951	0.98924	0.76671	1
ABCA7	4	-0.0021628	-0.024714	0.90971	0.99749	0.98028	1
ABCA8	4	-0.06942	-0.6535	0.40331	0.9678	0.51344	1
ABCA9	4	-0.048362	-0.3503	0.53708	0.97863	0.72611	1
ABCB1	4	0.060395	0.41764	0.56071	0.98163	0.67621	1
ABCB10	3	0.0029272	0.036072	0.9652	0.99788	0.97123	1
ABCB11	4	0.071138	0.42754	0.48132	0.97647	0.66898	1
ABCB4	4	0.020365	0.14116	0.89058	0.99516	0.88774	1
ABCB5	4	-0.0029232	-0.022543	0.90309	0.99675	0.98202	1
ABCB6	4	0.036394	0.32819	0.75147	0.99276	0.74276	1
ABCB7	4	-0.50116	-1.6082	0	0	0.10778	1
ABCB8	4	0.0011663	0.014068	0.94045	0.99749	0.98878	1
ABCB9	4	-0.068451	-0.70256	0.40871	0.9678	0.48233	1
ABCC1	4	0.14314	1.0706	0.14584	0.86689	0.28435	1
ABCC10	4	-0.14855	-1.1368	0.10514	0.81508	0.25561	1
ABCC11	4	0.17861	2.2696	0.070444	0.73141	0.023232	1
ABCC12	4	-0.0032388	-0.038533	0.90048	0.99662	0.96926	1
ABCC2	4	0.1286	0.78969	0.19004	0.88825	0.42971	1
ABCC3	4	0.017138	0.22666	0.91927	0.99749	0.82069	1
ABCC4	4	0.044809	0.40893	0.67964	0.9899	0.68259	1
ABCC5	4	-0.0076737	-0.07041	0.86223	0.99445	0.94387	1
ABCC6	4	-0.1878	-0.8039	0.047926	0.65155	0.42145	1
ABCC8	4	-0.028476	-0.25562	0.68648	0.99101	0.79824	1
ABCC9	4	0.12014	1.2882	0.22273	0.91886	0.19767	1
ABCD1	4	-0.060028	-0.75348	0.45958	0.96963	0.45116	1
ABCD2	4	-0.077512	-0.68177	0.35683	0.95672	0.49539	1
ABCD3	4	0.0035383	0.032968	0.96219	0.99788	0.9737	1
ABCD4	4	-0.19003	-2.1428	0.045702	0.64896	0.03213	1
ABCE1	4	0.1201	0.38432	0.2229	0.91886	0.70074	1
ABCF1	4	-0.17694	-0.78359	0.05938	0.69769	0.43328	1
ABCF2	4	0.17437	1.2616	0.078172	0.76413	0.20711	1
ABCF3	4	0.15981	1.653	0.10414	0.81508	0.098322	1
ABCG1	4	-0.031863	-0.34791	0.65768	0.9888	0.72791	1
ABCG2	4	-0.02453	-0.1873	0.71828	0.99256	0.85142	1
ABCG4	4	0.080219	0.54775	0.42272	0.9678	0.58387	1
ABCG5	4	-0.069856	-0.68555	0.40042	0.96701	0.493	1
ABCG8	4	0.22798	2.1272	0.024741	0.51804	0.0334	1
ABHD1	4	0.093386	0.87779	0.34527	0.95655	0.38006	1
ABHD10	4	-0.067883	-0.58258	0.41176	0.9678	0.56017	1
ABHD11	4	-0.10057	-0.75353	0.24842	0.93425	0.45113	1
ABHD12	4	0.12774	1.2404	0.19365	0.89491	0.21484	1
ABHD12B	4	-0.11774	-1.0738	0.18314	0.88301	0.28292	1
ABHD13	4	0.089529	0.71892	0.36762	0.95983	0.47219	1
ABHD14A	4	0.031097	0.32681	0.79701	0.99276	0.74381	1
ABHD14B	4	0.037739	0.4401	0.73963	0.99276	0.65986	1
ABHD15	4	-0.053293	-0.45161	0.50317	0.97658	0.65155	1
ABHD16A	4	-0.067873	-0.72888	0.41182	0.9678	0.46608	1
ABHD16B	4	0.032391	0.34194	0.78561	0.99276	0.7324	1
ABHD17A	3	0.21653	1.2401	0.06038	0.69769	0.21492	1
ABHD17B	4	-0.17929	-1.4492	0.056655	0.69132	0.14728	1
ABHD17C	4	-0.064546	-0.61419	0.43111	0.9678	0.53909	1
ABHD2	4	0.061656	0.43018	0.55048	0.98057	0.66706	1
ABHD3	4	0.056064	0.6035	0.59374	0.98163	0.54618	1
ABHD4	4	-0.039221	-0.24137	0.60036	0.98163	0.80927	1
ABHD5	4	0.020952	0.13908	0.88524	0.99513	0.88939	1
ABHD6	4	-0.0058624	-0.044204	0.87763	0.99447	0.96474	1
ABHD8	4	0.18934	1.7808	0.056044	0.69069	0.074953	1
ABI1	4	0.16475	1.533	0.093906	0.79767	0.12527	1
ABI2	4	0.036554	0.30751	0.74986	0.99276	0.75845	1
ABI3	4	-0.040049	-0.50401	0.59452	0.98163	0.61425	1
ABI3BP	4	-0.13359	-1.1522	0.13972	0.86244	0.24924	1
ABL1	4	-1.0791	-1.979	0	0	0.047814	1
ABL2	4	-0.15413	-1.7643	0.094574	0.79767	0.077679	1
ABLIM1	4	-0.051692	-0.29305	0.51523	0.97782	0.76948	1
ABLIM2	4	-0.10481	-0.93626	0.22962	0.92523	0.34914	1
ABLIM3	4	-0.187	-1.1726	0.048871	0.6545	0.24097	1
ABR	4	0.099451	0.89137	0.31174	0.94195	0.37273	1
ABRA	4	-0.0609	-0.56866	0.45369	0.96924	0.56959	1
ABRACL	4	-0.11186	-0.73516	0.20205	0.90022	0.46224	1
ABT1	4	0.092537	0.23452	0.35038	0.95672	0.81458	1
ABTB1	4	-0.10525	-0.82433	0.22745	0.92285	0.40975	1
ABTB2	4	-0.10221	-1.1944	0.24091	0.93263	0.23233	1
ACAA1	4	-0.056146	-0.33395	0.48488	0.97647	0.73842	1
ACAA2	4	-0.019031	-0.16207	0.7651	0.99276	0.87125	1
ACACA	4	0.046059	0.19217	0.67019	0.9899	0.84761	1
ACACB	4	0.14406	1.3535	0.14339	0.86533	0.17591	1
ACAD10	4	-0.013728	-0.11845	0.80952	0.99276	0.90571	1
ACAD11	4	0.021389	0.25853	0.88135	0.99473	0.796	1
ACAD8	4	-0.1325	-1.6926	0.14222	0.86244	0.090523	1
ACAD9	4	0.12304	0.56995	0.212	0.91111	0.56871	1
ACADL	4	0.088222	0.86793	0.37518	0.96087	0.38543	1
ACADM	4	-0.049148	-0.40933	0.53186	0.97782	0.6823	1
ACADS	4	0.016043	0.15094	0.92939	0.99749	0.88002	1
ACADSB	4	0.052076	0.28692	0.62187	0.98433	0.77418	1
ACADVL	4	-0.018311	-0.23766	0.77093	0.99276	0.81215	1
ACAN	4	-0.049236	-0.45756	0.53114	0.97782	0.64727	1
ACAP1	4	0.15208	1.6139	0.12315	0.84898	0.10655	1
ACAP2	4	0.13184	1.2761	0.17925	0.88267	0.20194	1
ACAP3	4	0.010043	0.082716	0.98187	0.99832	0.93408	1
ACAT1	4	-0.029109	-0.18795	0.68064	0.9899	0.85092	1
ACAT2	4	-0.2602	-1.9441	0.0085622	0.31976	0.051882	1
ACBD3	4	-0.11642	-0.97447	0.18687	0.88515	0.32982	1
ACBD4	4	0.028879	0.19949	0.81558	0.99276	0.84188	1
ACBD5	4	0.19869	1.728	0.046425	0.64896	0.08398	1
ACBD6	4	0.12451	1.3461	0.20583	0.90607	0.17828	1
ACBD7	4	-0.09378	-0.36248	0.2761	0.93545	0.71699	1
ACCS	4	0.28752	1.803	0.0063939	0.28155	0.071392	1
ACCSL	4	-0.017271	-0.11417	0.77972	0.99276	0.9091	1
ACD	4	-0.0061565	-0.052405	0.87462	0.99445	0.95821	1
ACE	4	-0.11032	-0.85575	0.20805	0.90869	0.39213	1
ACE2	4	0.020029	0.17922	0.89353	0.9953	0.85776	1
ACER1	4	-0.026866	-0.20732	0.70088	0.9916	0.83576	1
ACER2	4	-0.088864	-0.77836	0.29884	0.93857	0.43636	1
ACER3	4	-0.13945	-0.71393	0.12515	0.85077	0.47527	1
ACHE	4	-0.10414	-0.81424	0.23274	0.9259	0.41551	1
ACIN1	4	0.12385	0.48163	0.20894	0.90935	0.63007	1
ACKR2	4	0.0062697	0.06196	0.98543	0.99832	0.9506	1
ACKR3	4	0.083894	1.0772	0.39903	0.96701	0.28137	1
ACKR4	4	0.10313	0.6654	0.29484	0.93857	0.5058	1
ACLY	4	0.25342	1.9782	0.013455	0.39868	0.047901	1
ACMSD	4	0.063599	0.65539	0.53631	0.97863	0.51222	1
ACN9	4	0.01817	0.18088	0.9101	0.99749	0.85646	1
ACO1	4	0.21049	1.6196	0.035305	0.59513	0.10531	1
ACO2	4	-0.14985	-0.69723	0.10302	0.81508	0.48566	1
ACOT1	4	0.076109	0.63166	0.44751	0.96924	0.52761	1
ACOT11	4	0.102	0.89311	0.2999	0.93857	0.3718	1
ACOT12	4	-0.066605	-0.5559	0.41927	0.9678	0.57828	1
ACOT13	4	-0.14423	-0.51289	0.11409	0.83449	0.60803	1
ACOT2	4	0.074096	0.78449	0.4613	0.97053	0.43275	1
ACOT4	4	0.11277	0.96455	0.25347	0.93425	0.33477	1
ACOT6	4	-0.078762	-0.85423	0.34983	0.95672	0.39298	1
ACOT7	4	0.040823	0.42199	0.71367	0.99183	0.67303	1
ACOT8	4	-0.051891	-0.43507	0.51362	0.97782	0.66351	1
ACOT9	4	-0.025123	-0.24552	0.71339	0.99183	0.80606	1
ACOX1	4	-0.07479	-0.71387	0.37218	0.96087	0.4753	1
ACOX2	4	-0.03968	-0.5095	0.59685	0.98163	0.6104	1
ACOX3	4	-0.02921	-0.33835	0.67981	0.9899	0.7351	1
ACOXL	4	0.12459	0.90644	0.20533	0.90493	0.3647	1
ACP1	4	0.086625	1.1076	0.38313	0.9615	0.26805	1
ACP2	4	0.0064527	0.062644	0.98716	0.99832	0.95005	1
ACP5	4	0.029896	0.26701	0.80702	0.99276	0.78946	1
ACP6	4	-0.23354	-2.7213	0.016012	0.4273	0.0065029	1
ACPL2	4	-0.050107	-0.47232	0.52602	0.97782	0.6367	1
ACPP	4	-0.039702	-0.52976	0.59674	0.98163	0.59628	1
ACPT	4	-0.014173	-0.12078	0.80629	0.99276	0.90386	1
ACR	4	0.18651	0.99071	0.059157	0.69769	0.32183	1
ACRBP	4	0.039702	0.40614	0.7229	0.99256	0.68464	1
ACRC	4	0.016048	0.12181	0.92928	0.99749	0.90305	1
ACRV1	4	0.0094797	0.079795	0.98721	0.99832	0.9364	1
ACSBG1	4	-0.038778	-0.36122	0.60319	0.98163	0.71793	1
ACSBG2	4	0.042471	0.38014	0.69938	0.9916	0.70384	1
ACSF2	4	0.091216	0.76398	0.35744	0.95672	0.44488	1
ACSF3	4	-0.013078	-0.14692	0.81408	0.99276	0.88319	1
ACSL1	4	-0.068703	-0.45011	0.40721	0.9678	0.65263	1
ACSL3	4	-0.14293	-0.91319	0.11665	0.83718	0.36114	1
ACSL4	4	0.1425	1.381	0.14778	0.86806	0.16728	1
ACSL5	4	-0.16243	-1.3689	0.07845	0.76518	0.17102	1
ACSL6	4	0.062912	0.87199	0.54098	0.97898	0.38321	1
ACSM1	4	-0.15355	-1.301	0.095352	0.79842	0.19326	1
ACSM2A	4	0.19647	1.9948	0.04826	0.65324	0.04606	1
ACSM2B	4	0.16331	1.5924	0.096686	0.79963	0.1113	1
ACSM3	4	-0.050172	-0.4304	0.52558	0.97782	0.6669	1
ACSM4	4	-0.064138	-0.53154	0.43311	0.9678	0.59505	1
ACSM5	4	0.021006	0.20134	0.88485	0.99513	0.84043	1
ACSS1	4	0.058605	0.62413	0.57328	0.98163	0.53254	1
ACSS2	4	-0.061147	-0.67156	0.45219	0.96924	0.50187	1
ACSS3	4	-0.13026	-1.6076	0.14873	0.86866	0.10791	1
ACTA1	4	0.038476	0.50904	0.73296	0.99276	0.61072	1
ACTA2	4	-0.084284	-1.1266	0.32169	0.94651	0.25992	1
ACTB	4	0.27412	1.744	0.008451	0.31976	0.081151	1
ACTBL2	4	0.041823	0.58351	0.70466	0.99183	0.55955	1
ACTC1	4	0.12884	0.87227	0.18965	0.8882	0.38306	1
ACTG1	4	0.03427	0.21891	0.76888	0.99276	0.82672	1
ACTG2	4	-0.12333	-1.0717	0.16763	0.87618	0.28387	1
ACTL10	4	-0.013799	-0.14068	0.80918	0.99276	0.88813	1
ACTL6A	4	0.37877	0.89	0.00094518	0.10241	0.37347	1
ACTL6B	4	-0.066985	-0.29608	0.41694	0.9678	0.76717	1
ACTL7A	4	-0.025335	-0.31405	0.71217	0.99183	0.75349	1
ACTL7B	4	-0.045223	-0.55609	0.55899	0.98163	0.57815	1
ACTL8	4	-0.013069	-0.12901	0.81408	0.99276	0.89735	1
ACTL9	4	0.073695	0.70706	0.46347	0.97179	0.47953	1
ACTN1	4	0.049978	0.39616	0.63794	0.98557	0.69199	1
ACTN2	4	-0.058818	-0.72681	0.4677	0.97305	0.46734	1
ACTN4	4	0.083366	0.69285	0.40198	0.96761	0.4884	1
ACTR10	4	-0.13334	-0.39833	0.14016	0.86244	0.69038	1
ACTR1A	4	0.10909	0.53489	0.26871	0.93425	0.59273	1
ACTR1B	4	0.072807	0.71019	0.46931	0.97325	0.47758	1
ACTR2	4	0.069315	0.19959	0.49505	0.97647	0.84181	1
ACTR3	4	0.25926	1.4821	0.011565	0.37255	0.1383	1
ACTR3B	4	0.082108	0.36024	0.41076	0.9678	0.71867	1
ACTR3C	4	-0.29524	-1.6024	0.0036695	0.21854	0.10907	1
ACTR5	4	0.037363	0.18042	0.74258	0.99276	0.85682	1
ACTR6	4	0.049822	0.14857	0.63916	0.98588	0.88189	1
ACTR8	4	-0.076851	-0.35183	0.36022	0.95746	0.72496	1
ACTRT1	4	-0.0018078	-0.021077	0.91349	0.99749	0.98318	1
ACTRT2	4	-0.026039	-0.24979	0.70672	0.99183	0.80275	1
ACTRT3	4	-0.11564	-1.0583	0.18981	0.8882	0.28994	1
ACVR1	4	0.062205	0.46915	0.54648	0.98057	0.63896	1
ACVR1B	4	0.077834	0.46273	0.43634	0.96794	0.64356	1
ACVR1C	4	0.02375	0.23155	0.85889	0.9944	0.81689	1
ACVR2A	4	-0.10975	-0.41386	0.21039	0.91105	0.67897	1
ACVR2B	4	-0.02436	-0.22321	0.71956	0.99256	0.82337	1
ACVRL1	4	0.013234	0.14848	0.95374	0.99788	0.88197	1
ACY1	4	-0.053105	-0.72057	0.50461	0.97658	0.47118	1
ACY3	4	-0.14596	-1.9248	0.11025	0.82717	0.054261	1
ACYP1	4	0.1256	1.0091	0.2016	0.9	0.31293	1
ACYP2	4	0.1607	1.4048	0.10269	0.81508	0.16009	1
ADA	4	-0.16791	-1.7768	0.069276	0.7278	0.075599	1
ADAD1	4	-0.014868	-0.15746	0.80007	0.99276	0.87488	1
ADAD2	4	-0.060037	-0.60602	0.45952	0.96963	0.5445	1
ADAL	4	-0.055999	-0.44566	0.48588	0.97647	0.65585	1
ADAM10	4	-0.058365	-0.22095	0.47081	0.97434	0.82513	1
ADAM11	4	0.044027	0.42575	0.68687	0.99111	0.67029	1
ADAM12	4	-0.067672	-0.66142	0.41288	0.9678	0.50834	1
ADAM15	4	0.17497	1.9498	0.077004	0.75766	0.051194	1
ADAM17	4	-0.0016587	-0.015396	0.91477	0.99749	0.98772	1
ADAM18	4	-0.17419	-0.81212	0.061548	0.69769	0.41672	1
ADAM19	4	0.11215	1.307	0.25631	0.93425	0.19122	1
ADAM2	4	-0.10788	-0.82887	0.21739	0.91528	0.40718	1
ADAM20	4	-0.10585	-0.95521	0.22495	0.91913	0.33947	1
ADAM21	4	-0.081151	-0.58278	0.3371	0.95163	0.56004	1
ADAM22	4	0.066937	0.52339	0.51151	0.97782	0.6007	1
ADAM23	4	-0.03975	-0.33572	0.59635	0.98163	0.73709	1
ADAM28	4	0.10324	1.271	0.29445	0.93857	0.20374	1
ADAM29	4	-0.031802	-0.53703	0.65823	0.98889	0.59125	1
ADAM30	4	0.17196	1.4568	0.081897	0.77649	0.14517	1
ADAM32	4	-0.0092208	-0.080991	0.84838	0.99304	0.93545	1
ADAM33	4	0.02364	0.22585	0.86017	0.99445	0.82131	1
ADAM7	4	-0.078998	-0.73919	0.34816	0.95672	0.45979	1
ADAM8	4	0.17337	1.9363	0.080173	0.77164	0.05283	1
ADAM9	4	-0.055127	-0.50894	0.49177	0.97647	0.61079	1
ADAMDEC1	4	0.080827	1.0421	0.41871	0.9678	0.29735	1
ADAMTS1	4	-0.056709	-0.65869	0.48126	0.97647	0.5101	1
ADAMTS10	4	0.11715	0.84932	0.23535	0.92951	0.3957	1
ADAMTS12	4	0.20679	1.2859	0.038419	0.61111	0.19848	1
ADAMTS13	4	0.0067696	0.069852	0.98949	0.99832	0.94431	1
ADAMTS14	4	0.066951	0.61278	0.51151	0.97782	0.54002	1
ADAMTS15	4	0.14354	1.8853	0.14506	0.86689	0.059389	1
ADAMTS16	4	0.010008	0.083097	0.98254	0.99832	0.93377	1
ADAMTS17	4	-0.046583	-0.63906	0.54948	0.98057	0.52278	1
ADAMTS18	4	-0.0032094	-0.039765	0.90109	0.99662	0.96828	1
ADAMTS19	4	-0.10724	-1.3626	0.22028	0.91886	0.17302	1
ADAMTS2	4	0.024249	0.19422	0.85489	0.99347	0.84601	1
ADAMTS20	4	0.0435	0.59076	0.69132	0.99129	0.55468	1
ADAMTS3	4	0.099717	0.80043	0.31052	0.94195	0.42346	1
ADAMTS4	4	0.0036038	0.039079	0.96264	0.99788	0.96883	1
ADAMTS5	4	-0.035893	-0.49092	0.62643	0.98463	0.62348	1
ADAMTS6	4	-0.0019751	-0.019934	0.91171	0.99749	0.9841	1
ADAMTS7	4	-0.09327	-0.7906	0.27805	0.93549	0.42918	1
ADAMTS8	4	-0.056387	-0.54658	0.48343	0.97647	0.58467	1
ADAMTS9	4	-0.011558	-0.105	0.8282	0.99276	0.91637	1
ADAMTSL1	4	0.010785	0.1259	0.9752	0.99832	0.89981	1
ADAMTSL2	4	-0.099684	-0.87372	0.2512	0.93425	0.38227	1
ADAMTSL3	4	-0.0098394	-0.10029	0.84288	0.99276	0.92012	1
ADAMTSL4	4	0.049763	0.45	0.63989	0.98588	0.65271	1
ADAMTSL5	4	-0.017718	-0.14563	0.77616	0.99276	0.88421	1
ADAP1	4	-0.049046	-0.48134	0.53264	0.97782	0.63028	1
ADAP2	4	-0.091804	-0.93876	0.28389	0.93619	0.34785	1
ADAR	4	0.13883	0.95846	0.15718	0.87489	0.33783	1
ADARB1	4	-0.031509	-0.42917	0.66135	0.98986	0.6678	1
ADARB2	4	-0.075756	-0.99611	0.36679	0.95983	0.3192	1
ADAT1	4	-0.050723	-0.40101	0.52168	0.97782	0.68841	1
ADAT2	4	-0.1882	-1.0252	0.047704	0.65148	0.30528	1
ADAT3	4	0.28452	1.8072	0.0067275	0.28471	0.070732	1
ADC	4	0.081994	0.78397	0.41171	0.9678	0.43306	1
ADCK1	4	0.17925	1.6758	0.068998	0.72658	0.093777	1
ADCK2	4	-0.069438	-0.70308	0.40315	0.9678	0.482	1
ADCK3	4	0.2543	1.3222	0.013066	0.38972	0.1861	1
ADCK4	4	-0.06622	-0.5765	0.42138	0.9678	0.56428	1
ADCK5	4	-0.041605	-0.46369	0.58462	0.98163	0.64287	1
ADCY1	4	-0.13216	-1.3576	0.14283	0.86324	0.17459	1
ADCY10	4	0.055713	0.424	0.59624	0.98163	0.67156	1
ADCY2	4	0.014023	0.13912	0.94612	0.99749	0.88936	1
ADCY3	4	-0.021249	-0.20588	0.74525	0.99276	0.83689	1
ADCY4	4	-0.039709	-0.34802	0.59669	0.98163	0.72783	1
ADCY5	4	-0.067015	-0.69694	0.41677	0.9678	0.48584	1
ADCY6	4	0.02117	0.19149	0.88324	0.99486	0.84814	1
ADCY7	4	0.13366	1.3887	0.17336	0.87862	0.16493	1
ADCY8	4	-0.066449	-0.49851	0.42033	0.9678	0.61812	1
ADCY9	4	0.024503	0.24172	0.8525	0.99321	0.809	1
ADCYAP1	4	-0.057069	-0.78422	0.4796	0.97647	0.43291	1
ADCYAP1R1	4	0.02973	0.25031	0.80841	0.99276	0.80235	1
ADD1	4	-0.061776	-0.63843	0.4484	0.96924	0.5232	1
ADD2	4	-0.042052	-0.53146	0.58167	0.98163	0.5951	1
ADD3	4	-0.046562	-0.309	0.54965	0.98057	0.75732	1
ADH1A	4	0.036915	0.28742	0.7468	0.99276	0.77379	1
ADH1B	4	0.076327	0.84291	0.44635	0.96924	0.39928	1
ADH4	4	-0.18869	-1.6987	0.046925	0.64923	0.089379	1
ADH5	3	0.015734	0.081137	0.93762	0.99749	0.93533	1
ADH6	4	-0.082623	-0.58261	0.33087	0.95163	0.56015	1
ADH7	4	-0.096193	-0.97763	0.2656	0.93425	0.32826	1
ADHFE1	4	0.082558	0.58889	0.40771	0.9678	0.55593	1
ADI1	4	0.1389	1.1042	0.15696	0.87489	0.26953	1
ADIG	4	-0.28293	-2.3799	0.0052263	0.26039	0.017319	1
ADIPOQ	4	-0.01976	-0.16176	0.7587	0.99276	0.8715	1
ADIPOR1	4	0.17697	1.5259	0.073557	0.74326	0.12704	1
ADIPOR2	4	-0.26206	-2.475	0.0080618	0.31317	0.013324	1
ADIRF	4	-0.032942	-0.40336	0.64967	0.98817	0.68668	1
ADK	4	0.0040702	0.025923	0.96686	0.99788	0.97932	1
ADM	4	-0.060057	-0.87724	0.45947	0.96963	0.38035	1
ADM2	4	-0.023664	-0.31678	0.72467	0.99256	0.75141	1
ADM5	4	0.037726	0.28969	0.73974	0.99276	0.77206	1
ADNP	4	0.11389	0.82608	0.24914	0.93425	0.40876	1
ADNP2	4	-0.0049514	-0.059535	0.88608	0.99516	0.95253	1
ADO	4	0.062291	0.55909	0.54565	0.98057	0.5761	1
ADORA1	4	-0.14818	-1.1128	0.10569	0.81508	0.26579	1
ADORA2A	4	-0.037339	-0.40687	0.61331	0.98255	0.6841	1
ADORA2B	4	-0.031307	-0.36197	0.66302	0.98986	0.71738	1
ADORA3	4	-0.067165	-0.61985	0.41571	0.9678	0.53536	1
ADPGK	4	0.019154	0.2621	0.90142	0.99662	0.79324	1
ADPRH	4	-0.031953	-0.285	0.65723	0.9888	0.77564	1
ADPRHL1	4	-0.11225	-1.0172	0.20138	0.89968	0.30906	1
ADPRHL2	4	0.13787	1.2939	0.16007	0.87489	0.1957	1
ADPRM	4	-0.030736	-0.23404	0.66724	0.98986	0.81495	1
ADRA1A	4	-0.065877	-0.89282	0.42333	0.9678	0.37195	1
ADRA1B	4	0.1149	1.4501	0.24475	0.93425	0.14702	1
ADRA1D	4	0.13547	0.98977	0.16752	0.87618	0.32229	1
ADRA2A	4	0.10945	1.2336	0.26754	0.93425	0.21734	1
ADRA2B	4	0.090414	1.0425	0.36223	0.95823	0.29717	1
ADRA2C	4	-0.0094792	-0.097073	0.84621	0.99276	0.92267	1
ADRB1	4	0.040386	0.44787	0.71789	0.99256	0.65425	1
ADRB2	4	-0.13126	-1.1628	0.14522	0.86689	0.24493	1
ADRB3	4	0.060314	0.57371	0.56138	0.98163	0.56617	1
ADRBK1	4	0.028243	0.27179	0.82192	0.99276	0.78578	1
ADRBK2	4	-0.02868	-0.32698	0.68492	0.99092	0.74368	1
ADRM1	4	0.26719	2.0286	0.010119	0.34659	0.042495	1
ADSL	4	0.1656	0.4926	0.092294	0.79767	0.6223	1
ADSS	4	-0.19703	-0.32038	0.039253	0.61391	0.74868	1
ADSSL1	4	-0.05048	-0.46822	0.52413	0.97782	0.63963	1
ADTRP	4	0.041828	0.47042	0.7046	0.99183	0.63806	1
AEBP1	4	0.0065945	0.067282	0.98827	0.99832	0.94636	1
AEBP2	4	0.08939	0.71757	0.36834	0.95983	0.47302	1
AEN	4	0.02158	0.23674	0.87896	0.99447	0.81286	1
AES	4	0.14487	1.0448	0.14161	0.86244	0.29611	1
AFAP1	4	0.0088037	0.094089	0.99322	0.99905	0.92504	1
AFAP1L1	4	0.089322	0.25237	0.36868	0.95983	0.80076	1
AFAP1L2	4	-0.0090944	-0.078793	0.84961	0.99321	0.9372	1
AFF1	4	0.009387	0.13318	0.98838	0.99832	0.89405	1
AFF2	4	-0.26911	-2.2858	0.0068387	0.28806	0.022264	1
AFF3	4	0.10851	0.88892	0.27154	0.93425	0.37404	1
AFF4	4	-0.0087152	-0.080047	0.85283	0.99321	0.9362	1
AFG3L2	4	0.15956	0.74493	0.10464	0.81508	0.45631	1
AFM	4	0.010415	0.082914	0.97798	0.99832	0.93392	1
AFMID	4	-0.21502	-1.4516	0.025019	0.5189	0.14661	1
AFP	4	-0.05121	-0.50072	0.51874	0.97782	0.61657	1
AFTPH	4	-0.062275	-0.47214	0.4449	0.96923	0.63683	1
AGA	4	-0.088438	-1.0285	0.30085	0.93857	0.30369	1
AGAP1	4	0.060565	0.64163	0.55921	0.98163	0.52111	1
AGAP2	4	0.057573	0.51073	0.58173	0.98163	0.60954	1
AGAP3	4	0.13581	1.0123	0.16657	0.87618	0.31142	1
AGAP5	1	0.00096538	0.006298	0.96419	0.99788	0.99497	1
AGAP6	2	-0.021682	-0.14128	0.80852	0.99276	0.88765	1
AGAP7	1	-0.19539	-0.81542	0.27599	0.93545	0.41483	1
AGBL1	4	0.12981	1.2832	0.18587	0.88302	0.19941	1
