Gene	sgRNA	NK_vs_Control|beta	NK_vs_Control|z	NK_vs_Control|p-value	NK_vs_Control|fdr	NK_vs_Control|wald-p-value	NK_vs_Control|wald-fdr
AATF	5	0.21966	1.1346	0.015234	0.36997	0.25654	1
AATK	5	-0.026712	-0.27301	0.67641	0.98282	0.78484	1
ABAT	5	-0.043026	-0.54575	0.53475	0.9709	0.58524	1
ABCA1	5	-0.10636	-1.2319	0.17675	0.86644	0.21799	1
ABCA10	5	0.020004	0.2036	0.87952	0.9961	0.83866	1
ABCA12	5	-0.1038	-0.75594	0.18559	0.87052	0.44968	1
ABCA13	5	-0.12774	-1.2264	0.11214	0.7985	0.22005	1
ABCA2	5	0.014601	0.18837	0.93417	0.99848	0.85059	1
ABCA3	5	-0.0091853	-0.11123	0.83409	0.99234	0.91144	1
ABCA4	5	0.050173	0.56946	0.59997	0.97519	0.56904	1
ABCA5	5	-0.088835	-0.78277	0.24953	0.91936	0.43376	1
ABCA6	5	0.042741	0.30823	0.66618	0.98273	0.75791	1
ABCA7	5	-0.0038721	-0.052399	0.88763	0.99763	0.95821	1
ABCA8	5	-0.043039	-0.4625	0.53464	0.9709	0.64372	1
ABCA9	5	-0.048597	-0.39617	0.49172	0.96371	0.69198	1
ABCB1	5	0.12319	0.93554	0.16518	0.85903	0.34951	1
ABCB10	3	0.002376	0.029299	0.95608	0.99873	0.97663	1
ABCB11	5	0.11231	0.76147	0.20488	0.88515	0.44637	1
ABCB4	5	-0.0052225	-0.042068	0.87229	0.99455	0.96644	1
ABCB5	5	-0.0089081	-0.082273	0.83665	0.99235	0.93443	1
ABCB6	5	0.062399	0.63455	0.49616	0.96385	0.52572	1
ABCB7	5	-0.37511	-1.4793	0.00027799	0.04902	0.13905	1
ABCB8	5	-0.0019686	-0.028787	0.90593	0.99801	0.97703	1
ABCB9	5	-0.077012	-0.78901	0.30913	0.9368	0.43011	1
ABCC1	5	0.14914	1.3259	0.092572	0.75923	0.18488	1
ABCC10	5	-0.12041	-0.99573	0.13155	0.82273	0.31938	1
ABCC11	5	0.13679	1.9436	0.12282	0.8133	0.05194	1
ABCC12	5	0.025239	0.34966	0.8297	0.99234	0.72659	1
ABCC2	5	0.061738	0.47863	0.50122	0.9652	0.6322	1
ABCC3	5	0.082452	0.89828	0.35728	0.9498	0.36904	1
ABCC4	5	0.025217	0.26095	0.82998	0.99234	0.79413	1
ABCC5	5	0.076783	0.74616	0.39303	0.95627	0.45557	1
ABCC6	5	-0.1189	-0.61971	0.13627	0.83198	0.53545	1
ABCC8	5	-0.021976	-0.22459	0.7185	0.98522	0.8223	1
ABCC9	5	0.083356	1.0383	0.35244	0.9498	0.29915	1
ABCD1	5	-0.067333	-0.90138	0.36517	0.95098	0.36739	1
ABCD2	5	-0.035114	-0.35042	0.59974	0.97519	0.72602	1
ABCD3	5	0.064832	0.48396	0.47843	0.96371	0.62841	1
ABCD4	5	-0.12442	-1.5236	0.1202	0.80762	0.1276	1
ABCE1	5	0.035874	0.1284	0.72834	0.9866	0.89784	1
ABCF1	5	-0.3626	-1.8618	0.00038919	0.053846	0.062632	1
ABCF2	5	0.18222	1.5372	0.041532	0.57997	0.12426	1
ABCF3	5	0.14804	1.7019	0.095408	0.76356	0.088772	1
ABCG1	5	-0.016004	-0.19907	0.77238	0.99052	0.84221	1
ABCG2	5	0.017145	0.15987	0.90932	0.99801	0.87298	1
ABCG4	5	0.095273	0.80545	0.28572	0.93036	0.42056	1
ABCG5	5	-0.025891	-0.30273	0.6837	0.98282	0.7621	1
ABCG8	5	0.18918	1.9399	0.034193	0.53149	0.052387	1
ABHD1	5	0.10165	1.0816	0.2527	0.9195	0.27942	1
ABHD10	5	-0.12197	-1.1468	0.12649	0.81541	0.25148	1
ABHD11	5	0.0030217	0.025828	0.95269	0.9986	0.97939	1
ABHD12	5	0.14575	1.6013	0.10041	0.77544	0.1093	1
ABHD12B	5	-0.14651	-1.4915	0.071556	0.69962	0.13582	1
ABHD13	5	-0.043822	-0.25395	0.52841	0.96985	0.79953	1
ABHD14A	5	0.044909	0.44668	0.64517	0.97982	0.65511	1
ABHD14B	5	0.014095	0.19573	0.93951	0.99848	0.84482	1
ABHD15	5	-0.03805	-0.39276	0.57762	0.9733	0.69449	1
ABHD16A	5	-0.058822	-0.65761	0.41966	0.95867	0.51079	1
ABHD16B	5	0.0055013	0.065081	0.97576	0.99927	0.94811	1
ABHD17A	3	0.21593	1.2377	0.057934	0.6468	0.21584	1
ABHD17B	5	-0.095792	-0.82219	0.21784	0.89621	0.41097	1
ABHD17C	5	-0.047952	-0.52255	0.497	0.96385	0.60129	1
ABHD2	5	0.038768	0.32264	0.7016	0.98304	0.74697	1
ABHD3	5	0.0049796	0.058723	0.9712	0.99927	0.95317	1
ABHD4	5	-0.031534	-0.23627	0.63277	0.97725	0.81322	1
ABHD5	5	0.020582	0.15364	0.87435	0.99488	0.87789	1
ABHD6	5	0.037314	0.32959	0.71433	0.98475	0.74171	1
ABHD8	5	0.17892	1.7001	0.045146	0.59538	0.089108	1
ABI1	5	0.12016	1.231	0.17636	0.86644	0.21833	1
ABI2	5	0.06524	0.65999	0.47526	0.96371	0.50926	1
ABI3	5	-0.039585	-0.55734	0.56366	0.9733	0.5773	1
ABI3BP	5	-0.15237	-1.4344	0.062048	0.66193	0.15146	1
ABL1	5	-0.61095	-1.1902	0	0	0.23398	1
ABL2	5	-0.1548	-2.1199	0.058879	0.64936	0.03401	1
ABLIM1	5	0.032144	0.21287	0.76404	0.98793	0.83143	1
ABLIM2	5	-0.062974	-0.63723	0.39247	0.95627	0.52397	1
ABLIM3	5	-0.15367	-1.1414	0.06038	0.65699	0.25371	1
ABR	5	0.12263	1.2714	0.16741	0.86233	0.20359	1
ABRA	5	-0.028689	-0.31956	0.65901	0.98088	0.7493	1
ABRACL	4	-0.11238	-0.73926	0.20038	0.87936	0.45975	1
ABT1	5	0.11812	0.36313	0.18342	0.86976	0.71651	1
ABTB1	5	-0.13735	-1.2375	0.08957	0.75233	0.2159	1
ABTB2	5	-0.054175	-0.75007	0.45013	0.95959	0.45321	1
ACAA1	5	-0.060391	-0.43632	0.40865	0.95643	0.66261	1
ACAA2	5	-0.025217	-0.24292	0.69026	0.98282	0.80806	1
ACACA	5	0.011382	0.059399	0.96775	0.99908	0.95263	1
ACACB	5	0.14134	1.5298	0.11186	0.7985	0.12607	1
ACAD10	5	0.010368	0.10388	0.97782	0.99927	0.91727	1
ACAD11	5	0.0089668	0.11668	0.99127	0.99944	0.90711	1
ACAD8	5	-0.11126	-1.3672	0.16029	0.85359	0.17157	1
ACAD9	5	0.12302	0.69139	0.16568	0.85903	0.48932	1
ACADL	5	0.10453	0.83643	0.23907	0.91256	0.40291	1
ACADM	5	-0.03435	-0.34827	0.60825	0.97519	0.72764	1
ACADS	5	0.010956	0.12228	0.97265	0.99927	0.90268	1
ACADSB	5	0.02722	0.18713	0.81007	0.9915	0.85156	1
ACADVL	5	-0.011317	-0.15292	0.81569	0.99234	0.87846	1
ACAN	5	-0.031547	-0.28379	0.6326	0.97725	0.77657	1
ACAP1	5	0.11945	1.3119	0.17897	0.86644	0.18954	1
ACAP2	5	0.075357	0.71092	0.40298	0.95627	0.47713	1
ACAP3	5	0.087983	0.803	0.32553	0.9426	0.42197	1
ACAT1	5	0.0001625	0.001162	0.9265	0.99848	0.99907	1
ACAT2	5	-0.20101	-1.8521	0.017903	0.39606	0.064008	1
ACBD3	5	-0.092852	-0.83173	0.23157	0.90721	0.40556	1
ACBD4	5	0.07043	0.55932	0.43745	0.95903	0.57594	1
ACBD5	5	0.19195	0.96783	0.032081	0.51647	0.33313	1
ACBD6	5	0.097216	1.2029	0.27555	0.92888	0.22902	1
ACBD7	5	-0.036245	-0.16889	0.59063	0.9733	0.86589	1
ACCS	5	0.24827	1.8981	0.0072834	0.27966	0.057688	1
ACCSL	5	-0.023244	-0.17565	0.70794	0.98405	0.86057	1
ACD	5	0.0081448	0.084203	0.9995	0.99989	0.9329	1
ACE	5	-0.081668	-0.73744	0.28378	0.93036	0.46085	1
ACE2	5	0.028376	0.29898	0.79857	0.99126	0.76496	1
ACER1	5	0.014453	0.13142	0.93584	0.99848	0.89544	1
ACER2	5	-0.072009	-0.68782	0.33748	0.94554	0.49157	1
ACER3	5	-0.18969	-1.2043	0.024297	0.46539	0.22849	1
ACHE	5	-0.10328	-0.82984	0.18726	0.87052	0.40663	1
ACIN1	5	0.16571	0.77234	0.062159	0.66193	0.43991	1
ACKR2	5	0.0076541	0.06838	0.99605	0.99944	0.94548	1
ACKR3	5	0.022992	0.30205	0.84966	0.99261	0.76262	1
ACKR4	5	0.065136	0.50769	0.47609	0.96371	0.61167	1
ACLY	5	0.22346	1.9899	0.0139	0.35211	0.046606	1
ACMSD	5	0.087159	0.94899	0.32992	0.9426	0.34262	1
ACN9	5	0.015894	0.18174	0.92211	0.99848	0.85579	1
ACO1	5	0.17398	1.5832	0.050206	0.60916	0.11338	1
ACO2	5	-0.087053	-0.45179	0.25764	0.92058	0.65142	1
ACOT1	4	0.075485	0.62656	0.46069	0.96065	0.53095	1
ACOT11	5	0.084216	0.86715	0.34671	0.94686	0.38586	1
ACOT12	5	-0.016826	-0.14603	0.76448	0.988	0.8839	1
ACOT13	5	-0.14496	-0.63848	0.074447	0.70684	0.52316	1
ACOT2	4	0.073672	0.78031	0.47265	0.96371	0.43521	1
ACOT4	5	0.057959	0.54622	0.5328	0.97056	0.58492	1
ACOT6	5	-0.082431	-0.97545	0.28022	0.93036	0.32934	1
ACOT7	5	-0.0090691	-0.10466	0.83515	0.99234	0.91664	1
ACOT8	5	-0.065102	-0.6499	0.37879	0.95528	0.51576	1
ACOT9	5	-0.038065	-0.34083	0.57739	0.9733	0.73323	1
ACOX1	5	-0.072818	-0.79002	0.33359	0.94445	0.42952	1
ACOX2	5	-0.035494	-0.45644	0.59613	0.97464	0.64808	1
ACOX3	5	-0.014929	-0.20342	0.78316	0.99126	0.83881	1
ACOXL	5	0.10587	0.94415	0.23268	0.90939	0.34509	1
ACP1	5	0.045734	0.65729	0.6385	0.9785	0.51099	1
ACP2	5	0.0059763	0.065298	0.97976	0.99927	0.94794	1
ACP5	5	0.042421	0.44232	0.66891	0.98282	0.65825	1
ACP6	5	-0.18688	-2.0819	0.025742	0.47299	0.037347	1
ACPL2	5	-0.025847	-0.28185	0.68425	0.98282	0.77806	1
ACPP	5	-0.074819	-1.0354	0.32125	0.94135	0.30046	1
ACPT	5	0.012364	0.12608	0.95769	0.99873	0.89967	1
ACR	5	0.1515	0.9889	0.087624	0.74812	0.32271	1
ACRBP	5	0.049865	0.60049	0.60252	0.97519	0.54818	1
ACRC	5	-0.0067379	-0.057361	0.85778	0.99337	0.95426	1
ACRV1	5	0.021534	0.2204	0.86417	0.99361	0.82556	1
ACSBG1	5	-0.086435	-0.91007	0.26037	0.92094	0.36278	1
ACSBG2	5	0.042002	0.40722	0.67252	0.98282	0.68385	1
ACSF2	5	0.041617	0.39014	0.67675	0.98282	0.69644	1
ACSF3	5	-0.0098768	-0.11912	0.82809	0.99234	0.90518	1
ACSL1	5	-0.035682	-0.27853	0.59435	0.97408	0.78061	1
ACSL3	5	-0.15039	-1.1422	0.065329	0.67468	0.25339	1
ACSL4	5	0.13963	1.6396	0.11531	0.8	0.10108	1
ACSL5	5	-0.079914	-0.6129	0.29262	0.93036	0.53994	1
ACSL6	5	0.10189	1.2607	0.25164	0.9195	0.20743	1
ACSM1	5	-0.15358	-1.4534	0.06038	0.65699	0.14613	1
ACSM2A	5	0.20339	1.9053	0.023852	0.46278	0.056737	1
ACSM2B	4	0.16285	1.5886	0.097909	0.77031	0.11214	1
ACSM3	5	-0.036978	-0.37798	0.58557	0.9733	0.70544	1
ACSM4	5	-0.024009	-0.22088	0.70093	0.98304	0.82519	1
ACSM5	5	0.1089	1.0729	0.21939	0.89621	0.2833	1
ACSS1	5	0.078526	0.95953	0.38269	0.95627	0.33729	1
ACSS2	5	-0.098708	-1.2362	0.20549	0.88515	0.21639	1
ACSS3	5	-0.084525	-1.1899	0.26849	0.92592	0.2341	1
ACTA1	5	0.071069	1.0136	0.43334	0.95903	0.31078	1
ACTA2	5	-0.092524	-1.127	0.23318	0.90976	0.25972	1
ACTB	5	0.27916	2.1077	0.0030023	0.1794	0.035055	1
ACTBL2	5	0.040414	0.66952	0.68776	0.98282	0.50317	1
ACTC1	5	0.11645	0.92424	0.19004	0.87052	0.35536	1
ACTG1	5	0.055342	0.42824	0.55482	0.97223	0.66848	1
ACTG2	5	-0.15174	-1.0463	0.06316	0.66628	0.29543	1
ACTL10	5	-0.042579	-0.51848	0.53881	0.97091	0.60413	1
ACTL6A	5	0.24483	0.65481	0.0076726	0.27992	0.51259	1
ACTL6B	5	-0.062038	-0.33409	0.39781	0.95627	0.73831	1
ACTL7A	5	0.0041037	0.051585	0.96258	0.99879	0.95886	1
ACTL7B	5	-0.024363	-0.2913	0.69849	0.98282	0.77082	1
ACTL8	5	-0.02988	-0.35202	0.64923	0.98027	0.72482	1
ACTL9	5	0.046345	0.5409	0.63355	0.97736	0.58858	1
ACTN1	5	0.025017	0.23802	0.83176	0.99234	0.81186	1
ACTN2	5	-0.08177	-1.0416	0.28322	0.93036	0.29762	1
ACTN4	5	0.101	0.89587	0.2567	0.92037	0.37032	1
ACTR10	5	-0.14689	-0.49268	0.071	0.69853	0.62224	1
ACTR1A	5	0.15032	0.79966	0.089959	0.75326	0.42391	1
ACTR1B	5	0.072566	0.76966	0.42288	0.95903	0.4415	1
ACTR2	5	0.075654	0.26637	0.40059	0.95627	0.78995	1
ACTR3	5	0.2215	1.421	0.0144	0.36072	0.15531	1
ACTR3B	5	0.026356	0.14081	0.81819	0.99234	0.88802	1
ACTR3C	5	-0.22761	-1.461	0.009841	0.3125	0.14403	1
ACTR5	5	0.049571	0.28581	0.60497	0.97519	0.77503	1
ACTR6	5	0.028273	0.10022	0.79962	0.99126	0.92017	1
ACTR8	5	-0.060556	-0.31898	0.40771	0.95643	0.74974	1
ACTRT1	5	0.056338	0.61761	0.54565	0.97091	0.53683	1
ACTRT2	5	-0.037997	-0.43568	0.57812	0.9733	0.66307	1
ACTRT3	5	-0.05293	-0.53525	0.45875	0.96065	0.59248	1
ACVR1	5	0.081327	0.69168	0.36501	0.95098	0.48914	1
ACVR1B	5	-0.0040477	-0.028352	0.88602	0.99763	0.97738	1
ACVR1C	5	0.043538	0.47151	0.65734	0.9807	0.63727	1
ACVR2A	5	-0.15725	-0.74457	0.054376	0.62612	0.45653	1
ACVR2B	5	-0.052222	-0.54121	0.46419	0.96136	0.58836	1
ACVRL1	5	-0.0028888	-0.031555	0.89753	0.99778	0.97483	1
ACY1	5	-0.055475	-0.71577	0.44184	0.95903	0.47413	1
ACY3	5	-0.10779	-1.6464	0.1718	0.86465	0.099674	1
ACYP1	5	0.10463	0.99596	0.23857	0.91256	0.31927	1
ACYP2	5	0.16664	1.6339	0.060603	0.65782	0.10229	1
ADA	5	-0.16967	-2.129	0.039976	0.56659	0.033251	1
ADAD1	5	0.060976	0.62962	0.50767	0.9675	0.52895	1
ADAD2	5	0.064912	0.61041	0.47782	0.96371	0.54159	1
ADAL	5	-0.096126	-0.83846	0.21628	0.89621	0.40177	1
ADAM10	5	-0.057666	-0.26763	0.42744	0.95903	0.78898	1
ADAM11	5	0.050734	0.56892	0.59557	0.97408	0.56941	1
ADAM12	5	-0.050746	-0.5567	0.47598	0.96371	0.57773	1
ADAM15	5	0.12151	1.3617	0.17119	0.86275	0.17329	1
ADAM17	5	0.01257	0.1379	0.95558	0.99873	0.89032	1
ADAM18	5	-0.18727	-0.69591	0.02552	0.47222	0.48649	1
ADAM19	5	0.11439	1.4292	0.19704	0.87822	0.15296	1
ADAM2	5	-0.092186	-0.8486	0.23463	0.91046	0.3961	1
ADAM20	5	-0.11919	-1.0917	0.13538	0.83106	0.27499	1
ADAM21	5	0.0023718	0.019618	0.94663	0.99848	0.98435	1
ADAM22	5	0.063689	0.60745	0.48671	0.96371	0.54355	1
ADAM23	5	-0.071094	-0.72801	0.34304	0.94684	0.46661	1
ADAM28	5	0.11031	1.4625	0.21289	0.89178	0.1436	1
ADAM29	5	-0.031558	-0.45977	0.63255	0.97725	0.64568	1
ADAM30	5	0.22331	1.9784	0.0139	0.35211	0.047884	1
ADAM32	5	-0.013464	-0.10311	0.7964	0.99126	0.91788	1
ADAM33	5	-0.028046	-0.2939	0.66446	0.98225	0.76883	1
ADAM7	5	-0.10237	-1.0303	0.18998	0.87052	0.30285	1
ADAM8	5	0.20178	0.5147	0.024741	0.46744	0.60676	1
ADAM9	5	-0.048161	-0.53462	0.49539	0.96385	0.59291	1
ADAMDEC1	5	0.057901	0.8496	0.53303	0.97056	0.39555	1
ADAMTS1	5	-0.069377	-0.94851	0.35322	0.9498	0.34287	1
ADAMTS10	5	0.11657	1.0302	0.18954	0.87052	0.30291	1
ADAMTS12	5	0.17759	1.369	0.046481	0.59832	0.17099	1
ADAMTS13	5	0.035438	0.37716	0.73196	0.98702	0.70605	1
ADAMTS14	5	0.084855	0.91849	0.34382	0.94684	0.35836	1
ADAMTS15	5	0.13705	2.0561	0.12209	0.81183	0.039771	1
ADAMTS16	5	0.057226	0.54888	0.53775	0.9709	0.58309	1
ADAMTS17	5	0.013844	0.17383	0.94212	0.99848	0.862	1
ADAMTS18	5	0.028379	0.39947	0.79857	0.99126	0.68955	1
ADAMTS19	5	-0.057793	-0.85926	0.42683	0.95903	0.3902	1
ADAMTS2	5	-0.0056112	-0.05539	0.8689	0.99442	0.95583	1
ADAMTS20	5	-0.020712	-0.296	0.72957	0.98702	0.76723	1
ADAMTS3	5	0.043392	0.40249	0.6589	0.9808	0.68732	1
ADAMTS4	5	-0.0018903	-0.024032	0.90693	0.99801	0.98083	1
ADAMTS5	5	-0.022519	-0.31299	0.71389	0.98475	0.75429	1
ADAMTS6	5	-0.029193	-0.34341	0.65562	0.9807	0.73129	1
ADAMTS7	5	-0.023578	-0.22687	0.7051	0.98386	0.82052	1
ADAMTS8	5	-0.017812	-0.17722	0.75509	0.98752	0.85934	1
ADAMTS9	5	-0.038729	-0.38245	0.571	0.9733	0.70213	1
ADAMTSL1	5	0.04089	0.53841	0.68314	0.98282	0.59029	1
ADAMTSL2	5	-0.05448	-0.58305	0.4484	0.95903	0.55986	1
ADAMTSL3	5	-0.013069	-0.14962	0.79996	0.99126	0.88106	1
ADAMTSL4	5	-0.016723	-0.14775	0.76548	0.98873	0.88254	1
ADAMTSL5	5	-0.035247	-0.33567	0.59858	0.97484	0.73712	1
ADAP1	5	-0.068075	-0.79752	0.36056	0.95098	0.42515	1
ADAP2	5	-0.0096424	-0.065715	0.82976	0.99234	0.9476	1
ADAR	5	0.089304	0.71052	0.31803	0.93916	0.47738	1
ADARB1	5	-0.041473	-0.60339	0.54787	0.97149	0.54625	1
ADARB2	5	-0.047982	-0.70673	0.49666	0.96385	0.47973	1
ADAT1	5	0.01603	0.1451	0.92033	0.99843	0.88463	1
ADAT2	5	-0.09832	-0.58389	0.20711	0.8872	0.55929	1
ADAT3	5	0.23964	1.786	0.0088402	0.29444	0.074091	1
ADC	5	0.080844	0.83495	0.36745	0.95115	0.40374	1
ADCK1	5	0.12872	1.4947	0.1475	0.8449	0.13499	1
ADCK2	5	-0.051536	-0.61826	0.46975	0.96329	0.5364	1
ADCK3	5	0.18866	1.2424	0.034805	0.53538	0.21409	1
ADCK4	5	0.013819	0.13461	0.94229	0.99848	0.89292	1
ADCK5	5	-0.073521	-0.94669	0.32931	0.9426	0.3438	1
ADCY1	5	-0.096829	-1.1438	0.21305	0.89178	0.2527	1
ADCY10	5	0.061353	0.55044	0.50467	0.96708	0.58202	1
ADCY2	5	0.019595	0.22141	0.88402	0.99762	0.82477	1
ADCY3	5	0.01057	0.098424	0.97576	0.99927	0.9216	1
ADCY4	5	-0.0057444	-0.060554	0.86701	0.99401	0.95171	1
ADCY5	5	-0.076805	-0.92156	0.3098	0.9368	0.35676	1
ADCY6	5	-0.016051	-0.17133	0.77188	0.99052	0.86397	1
ADCY7	5	0.13853	1.7488	0.11804	0.80353	0.08033	1
ADCY8	5	-0.031401	-0.28005	0.63377	0.97736	0.77944	1
ADCY9	5	0.017329	0.17008	0.90732	0.99801	0.86495	1
ADCYAP1	5	-0.039628	-0.48376	0.56316	0.9733	0.62856	1
ADCYAP1R1	5	0.11033	1.0478	0.21289	0.89178	0.29472	1
ADD1	5	-0.025077	-0.29402	0.69187	0.98282	0.76874	1
ADD2	5	-0.034267	-0.13445	0.6092	0.97519	0.89304	1
ADD3	5	0.028762	0.21968	0.79545	0.99126	0.82612	1
ADH1A	5	0.059141	0.52239	0.5228	0.96817	0.6014	1
ADH1B	5	0.056162	0.66261	0.54709	0.97149	0.50758	1
ADH4	5	-0.1536	-1.5904	0.06038	0.65699	0.11174	1
ADH5	3	0.015317	0.079027	0.94429	0.99848	0.93701	1
ADH6	5	-0.084844	-0.73626	0.26721	0.92551	0.46157	1
ADH7	5	-0.13163	-1.2902	0.10258	0.78058	0.19698	1
ADHFE1	5	0.059647	0.50035	0.51868	0.96804	0.61683	1
ADI1	5	0.10077	0.93477	0.2582	0.92058	0.34991	1
ADIG	5	-0.21371	-2.1037	0.012454	0.33991	0.035405	1
ADIPOQ	5	-0.026974	-0.26856	0.67414	0.98282	0.78827	1
ADIPOR1	5	0.10702	0.99603	0.2274	0.90307	0.31923	1
ADIPOR2	5	-0.23967	-2.5981	0.007339	0.27966	0.0093753	1
ADIRF	5	-0.022567	-0.26637	0.71367	0.98475	0.78995	1
ADK	5	-7.2012e-05	-0.00056487	0.92366	0.99848	0.99955	1
ADM	5	-0.060509	-0.99351	0.40804	0.95643	0.32046	1
ADM2	5	-0.00543	-0.069869	0.8704	0.99442	0.9443	1
ADM5	5	0.032211	0.30127	0.76326	0.98793	0.76321	1
ADNP	5	0.12092	1.072	0.17341	0.86549	0.28371	1
ADNP2	5	-0.019204	-0.24966	0.74375	0.98722	0.80285	1
ADO	5	0.0091521	0.086755	0.98955	0.99944	0.93087	1
ADORA1	5	-0.026219	-0.19904	0.68109	0.98282	0.84223	1
ADORA2A	5	-0.10701	-1.2248	0.17419	0.86571	0.22064	1
ADORA2B	5	-0.013048	-0.17106	0.80018	0.99126	0.86417	1
ADORA3	5	-0.011065	-0.11331	0.81791	0.99234	0.90978	1
ADPGK	5	-0.0049281	-0.062772	0.87546	0.99495	0.94995	1
ADPRH	5	-0.095729	-0.96442	0.21823	0.89621	0.33484	1
ADPRHL1	5	-0.069248	-0.68626	0.35422	0.9498	0.49255	1
ADPRHL2	5	0.135	1.3252	0.12821	0.81918	0.1851	1
ADPRM	5	-0.011587	-0.097639	0.81247	0.99186	0.92222	1
ADRA1A	5	-0.10099	-1.5711	0.19549	0.87659	0.11616	1
ADRA1B	5	0.12882	1.7155	0.14711	0.84402	0.086262	1
ADRA1D	5	0.10517	0.9509	0.23596	0.91093	0.34165	1
ADRA2A	5	0.10872	1.3771	0.22	0.89621	0.16847	1
ADRA2B	5	0.053643	0.67798	0.56866	0.9733	0.49779	1
ADRA2C	5	0.053456	0.63327	0.57011	0.9733	0.52656	1
ADRB1	5	0.05134	0.62098	0.58968	0.9733	0.53461	1
ADRB2	5	-0.059816	-0.63322	0.41232	0.95643	0.52659	1
ADRB3	5	0.05029	0.56372	0.5988	0.97484	0.57294	1
ADRBK1	5	0.033697	0.38642	0.74908	0.98722	0.69919	1
ADRBK2	5	-0.04266	-0.50194	0.5382	0.97091	0.61571	1
ADRM1	5	0.19895	1.8878	0.026521	0.477	0.059053	1
ADSL	5	0.11597	0.37878	0.19165	0.87266	0.70485	1
ADSS	5	-0.13007	-0.22793	0.10542	0.78218	0.8197	1
ADSSL1	5	-0.020801	-0.22982	0.72868	0.9866	0.81823	1
ADTRP	5	0.04081	0.50919	0.68381	0.98282	0.61062	1
AEBP1	5	-0.0057497	-0.067741	0.86701	0.99401	0.94599	1
AEBP2	5	0.075297	0.70116	0.40376	0.95627	0.48321	1
AEN	5	-0.0088329	-0.10812	0.83748	0.99235	0.9139	1
AES	5	0.10987	0.90505	0.21539	0.89618	0.36544	1
AFAP1	5	-0.0047646	-0.062049	0.87763	0.9959	0.95052	1
AFAP1L1	5	0.066824	0.24181	0.46386	0.96136	0.80893	1
AFAP1L2	5	-0.024791	-0.23482	0.6941	0.98282	0.81435	1
AFF1	5	-0.021946	-0.34829	0.71873	0.98522	0.72762	1
AFF2	5	-0.1794	-1.8416	0.031247	0.51499	0.065529	1
AFF3	5	0.038352	0.37961	0.70566	0.98403	0.70424	1
AFF4	5	-0.072959	-0.73239	0.33281	0.94421	0.46393	1
AFG3L2	5	0.13485	0.75397	0.12877	0.82082	0.45087	1
AFM	5	-0.015963	-0.1492	0.77271	0.9908	0.88139	1
AFMID	5	-0.11332	-0.90519	0.15323	0.84896	0.36536	1
AFP	5	-0.046048	-0.18444	0.51129	0.9675	0.85367	1
AFTPH	5	-0.049824	-0.45595	0.48276	0.96371	0.64843	1
AGA	5	0.0031858	0.03592	0.95435	0.99873	0.97135	1
AGAP1	5	0.10615	1.1207	0.2314	0.90721	0.2624	1
AGAP2	5	0.060866	0.62781	0.50867	0.9675	0.53013	1
AGAP3	5	0.085774	0.74637	0.33804	0.94557	0.45544	1
AGAP5	1	0.00061339	0.0039948	0.9603	0.99873	0.99681	1
AGAP6	2	-0.02226	-0.14498	0.8088	0.9915	0.88473	1
AGAP7	1	-0.19566	-0.81637	0.27116	0.92825	0.41429	1
