Gene	sgRNA	NK_vs_Control|beta	NK_vs_Control|z	NK_vs_Control|p-value	NK_vs_Control|fdr	NK_vs_Control|wald-p-value	NK_vs_Control|wald-fdr
ACBD7	3	-0.25554	-0.78807	0.026799	0.57381	0.43066	1
ACCS	3	0.20908	1.1826	0.067441	0.74784	0.23699	1
ACCSL	3	-0.025736	-0.13979	0.75003	0.99796	0.88883	1
ACD	3	-0.025744	-0.20116	0.74969	0.99796	0.84057	1
ACE	3	-0.14864	-1.0918	0.15723	0.89711	0.2749	1
ACE2	3	0.049763	0.44738	0.69271	0.99645	0.6546	1
ACER1	3	-0.027458	-0.19808	0.73657	0.99687	0.84298	1
ACER2	3	-0.13282	-0.92153	0.19865	0.92593	0.35677	1
ACER3	3	-0.15097	-0.59652	0.15173	0.89099	0.55083	1
ACHE	3	-0.0019263	-0.012606	0.92255	0.99931	0.98994	1
ACIN1	3	-0.078731	-0.25883	0.41988	0.99645	0.79577	1
ACKR2	3	0.053818	0.47695	0.66446	0.99645	0.6334	1
ACKR3	3	0.068953	0.75079	0.56577	0.99645	0.45278	1
ACKR4	3	0.18904	0.92958	0.096464	0.81189	0.35259	1
ACLY	3	0.15475	1.1075	0.17252	0.91154	0.26806	1
ACMSD	3	0.046376	0.37774	0.71611	0.99645	0.70563	1
ACN9	3	-0.015643	-0.12193	0.81975	0.99889	0.90295	1
ACO1	3	0.18507	1.1127	0.1038	0.82335	0.26583	1
ACO2	3	-0.24165	-0.87901	0.034249	0.61515	0.37939	1
ACOT1	3	0.087891	0.88729	0.45018	0.99645	0.37493	1
ACOT11	3	0.11659	0.82456	0.30668	0.97726	0.40962	1
ACOT12	3	-0.059772	-0.49721	0.52446	0.99645	0.61904	1
ACOT13	3	-0.21297	-0.5649	0.056155	0.71177	0.57214	1
ACOT2	3	0.02656	0.24366	0.85978	0.99931	0.8075	1
ACOT4	3	0.10176	0.76908	0.37529	0.99221	0.44185	1
ACOT6	3	-0.072283	-0.63642	0.4528	0.99645	0.5245	1
ACOT7	3	0.020154	0.17824	0.90999	0.99931	0.85854	1
ACOT8	3	-0.12164	-0.86635	0.23635	0.95657	0.3863	1
ACOT9	3	-0.0606	-0.45873	0.51901	0.99645	0.64643	1
ACOX1	3	-0.14404	-1.2136	0.16763	0.90378	0.22489	1
ACOX2	3	-0.029813	-0.32824	0.71967	0.99687	0.74273	1
ACOX3	3	-0.0068812	-0.089388	0.88636	0.99931	0.92877	1
ACOXL	3	0.15701	0.87715	0.16657	0.90375	0.38041	1
ACP1	3	0.043682	0.45248	0.73468	0.99687	0.65093	1
ACP2	3	0.0091854	0.0814	0.99072	0.99967	0.93512	1
ACP5	3	-0.043541	-0.31815	0.62437	0.99645	0.75037	1
ACP6	3	-0.2196	-2.2394	0.050484	0.69495	0.025131	1
ACPL2	3	-0.061707	-0.47284	0.51273	0.99645	0.63632	1
ACPP	3	-0.088333	-1.0251	0.3719	0.99038	0.3053	1
ACPT	3	-0.0020106	-0.019596	0.92199	0.99931	0.98437	1
ACR	3	0.09885	0.70118	0.39125	0.99645	0.48319	1
ACRBP	3	-0.077807	-0.84033	0.42405	0.99645	0.40072	1
ACRC	3	0.014841	0.087514	0.94818	0.99931	0.93026	1
ACRV1	3	-0.011435	-0.080875	0.8515	0.99902	0.93554	1
ACSBG1	3	-0.10437	-0.76353	0.30118	0.97726	0.44515	1
ACSBG2	3	0.093613	0.63524	0.42038	0.99645	0.52527	1
ACSF2	3	0.0033215	0.023783	0.96125	0.99931	0.98103	1
ACSF3	3	-0.045792	-0.40834	0.60997	0.99645	0.68302	1
ACSL1	3	0.032315	0.21376	0.82008	0.99889	0.83073	1
ACSL3	3	-0.1591	-0.79323	0.13527	0.87031	0.42764	1
ACSL4	3	0.098149	0.75578	0.39592	0.99645	0.44978	1
ACSL5	3	-0.15321	-1.0083	0.14695	0.88513	0.3133	1
ACSL6	3	0.068981	0.88512	0.5655	0.99645	0.37609	1
ACSM1	3	-0.19311	-1.3202	0.076282	0.77018	0.18678	1
ACSM2A	3	0.16536	1.4551	0.14567	0.88509	0.14564	1
ACSM2B	3	0.18703	1.4356	0.099967	0.81951	0.15112	1
ACSM3	3	-0.11371	-0.77988	0.26409	0.96152	0.43546	1
ACSM4	3	-0.042985	-0.3517	0.62799	0.99645	0.72506	1
ACSM5	3	0.026971	0.21035	0.85628	0.99916	0.83339	1
ACSS1	3	-0.032315	-0.31752	0.70227	0.99645	0.75085	1
ACSS2	3	-0.049873	-0.45246	0.58495	0.99645	0.65094	1
ACSS3	3	-0.11854	-1.4787	0.24741	0.95812	0.13922	1
ACTA1	3	0.051542	0.66805	0.68103	0.99645	0.5041	1
ACTA2	3	-0.099893	-1.0941	0.32008	0.97726	0.27391	1
ACTB	3	0.33231	2.1325	0.0080062	0.3598	0.032964	1
ACTBL2	3	0.012309	0.15872	0.96764	0.99931	0.87389	1
ACTC1	3	0.15352	0.79269	0.17591	0.91165	0.42796	1
ACTG1	3	0.11124	0.56046	0.32887	0.97769	0.57517	1
ACTG2	3	-0.058777	-0.58707	0.53058	0.99645	0.55716	1
ACTL10	3	0.042623	0.36255	0.74163	0.99687	0.71694	1
ACTL6A	3	0.26047	0.60159	0.027466	0.57442	0.54745	1
ACTL6B	3	-0.048255	-0.16526	0.5953	0.99645	0.86874	1
ACTL7A	3	-0.03658	-0.46732	0.67319	0.99645	0.64027	1
ACTL7B	3	-0.073688	-0.70274	0.44512	0.99645	0.48222	1
ACTL8	3	-0.0084527	-0.083671	0.87407	0.99931	0.93332	1
ACTL9	3	0.061779	0.4667	0.61281	0.99645	0.64071	1
ACTN1	3	0.097813	0.73522	0.39781	0.99645	0.46221	1
ACTN2	3	-0.050923	-0.53603	0.57767	0.99645	0.59194	1
ACTN4	3	0.16729	1.1486	0.14072	0.88035	0.25074	1
ACTR10	3	-0.24712	-0.56678	0.03108	0.59765	0.57087	1
ACTR1A	3	0.26756	1.6132	0.023907	0.55058	0.10669	1
ACTR1B	3	0.070717	0.66051	0.55443	0.99645	0.50893	1
ACTR2	3	0.037697	0.086424	0.781	0.99889	0.93113	1
ACTR3	3	0.2951	1.81	0.014511	0.44539	0.070302	1
ACTR3B	3	0.082295	0.42833	0.48099	0.99645	0.66841	1
ACTR3C	3	-0.26977	-1.1271	0.020794	0.52446	0.2597	1
ACTR5	3	-0.036748	-0.1376	0.67213	0.99645	0.89056	1
ACTR6	3	-0.093458	-0.27359	0.34927	0.985	0.7844	1
ACTR8	3	-0.27409	-1.4506	0.019237	0.50364	0.14689	1
ACTRT1	3	-0.031782	-0.29936	0.70616	0.99645	0.76466	1
ACTRT2	3	-0.037398	-0.31151	0.66624	0.99645	0.75542	1
ACTRT3	3	-0.15021	-1.0814	0.15379	0.89573	0.27953	1
ACVR1	3	-0.056442	-0.51457	0.54326	0.99645	0.60685	1
ACVR1B	3	0.073651	0.37772	0.53636	0.99645	0.70564	1
ACVR1C	3	0.0023276	0.021577	0.95458	0.99931	0.98279	1
ACVR2A	3	-0.12953	-0.3693	0.20939	0.94075	0.71191	1
ACVR2B	3	-0.0091865	-0.067556	0.86957	0.99931	0.94614	1
ACVRL1	3	0.065486	0.62581	0.58851	0.99645	0.53144	1
ACY1	3	-0.044593	-0.47865	0.61776	0.99645	0.63219	1
ACY3	3	-0.17156	-1.9092	0.1102	0.83558	0.056231	1
ACYP1	3	0.15184	0.94373	0.18086	0.91165	0.34531	1
ACYP2	3	0.21012	2.3075	0.066051	0.74644	0.021029	1
ADA	3	-0.15497	-1.5152	0.144	0.88481	0.12972	1
ADAD1	3	0.0037145	0.031033	0.96453	0.99931	0.97524	1
ADAD2	3	-0.095836	-0.93033	0.33821	0.98179	0.3522	1
ADAL	3	-0.17781	-1.3742	0.10041	0.81979	0.16937	1
ADAM10	3	-0.029983	-0.18233	0.71811	0.99645	0.85533	1
ADAM11	3	0.034367	0.26497	0.8054	0.99889	0.79103	1
ADAM12	3	-0.026225	-0.21848	0.74608	0.99747	0.82706	1
ADAM15	3	0.13044	1.2564	0.24958	0.95812	0.20896	1
ADAM17	3	0.057534	0.4736	0.63955	0.99645	0.63578	1
ADAM18	3	-0.21908	-0.77096	0.05104	0.69879	0.44073	1
ADAM19	3	0.096616	1.0374	0.40437	0.99645	0.29953	1
ADAM2	3	-0.055353	-0.32888	0.55048	0.99645	0.74225	1
ADAM20	3	-0.14987	-1.369	0.15479	0.89633	0.17099	1
ADAM21	3	-0.17545	-1.093	0.10352	0.82335	0.2744	1
ADAM22	3	0.095677	0.79311	0.40865	0.99645	0.42772	1
ADAM23	3	0.050701	0.35639	0.68731	0.99645	0.72155	1
ADAM28	3	0.16171	1.5157	0.15468	0.89633	0.12959	1
ADAM29	3	-0.097217	-1.3217	0.33159	0.97951	0.18628	1
ADAM30	3	0.16296	1.1703	0.15145	0.89099	0.24186	1
ADAM32	3	-0.033993	-0.24095	0.69087	0.99645	0.80959	1
ADAM33	3	0.072657	0.57247	0.54187	0.99645	0.56701	1
ADAM7	3	-0.0097775	-0.075478	0.86489	0.99931	0.93983	1
ADAM8	3	0.25334	2.3852	0.030579	0.59657	0.017071	1
ADAM9	3	0.020849	0.17442	0.90487	0.99931	0.86153	1
ADAMDEC1	3	0.056173	0.64724	0.64923	0.99645	0.51748	1
ADAMTS1	3	-0.04213	-0.48619	0.63494	0.99645	0.62683	1
ADAMTS10	3	0.093977	0.62527	0.41788	0.99645	0.53179	1
ADAMTS12	3	0.19704	1.0347	0.08401	0.78663	0.30082	1
ADAMTS13	3	-0.025664	-0.21236	0.75058	0.99796	0.83182	1
ADAMTS14	3	0.011713	0.10239	0.97209	0.99943	0.91845	1
ADAMTS15	3	0.12375	1.3099	0.27438	0.9658	0.19024	1
ADAMTS16	3	0.044327	0.30988	0.73012	0.99687	0.75666	1
ADAMTS17	3	-0.0039225	-0.046832	0.90804	0.99931	0.96265	1
ADAMTS18	3	-0.046603	-0.55477	0.60536	0.99645	0.57905	1
ADAMTS19	3	-0.079372	-0.98667	0.41677	0.99645	0.32381	1
ADAMTS2	3	0.009247	0.065443	0.99027	0.99967	0.94782	1
ADAMTS20	3	0.08333	0.87034	0.47504	0.99645	0.38412	1
ADAMTS3	3	0.090843	0.56291	0.43489	0.99645	0.57349	1
ADAMTS4	3	0.038947	0.3594	0.7701	0.99842	0.71929	1
ADAMTS5	3	-0.040561	-0.52869	0.6455	0.99645	0.59702	1
ADAMTS6	3	0.028627	0.25231	0.84538	0.99889	0.8008	1
ADAMTS7	3	-0.12974	-0.92165	0.20844	0.93842	0.35671	1
ADAMTS8	3	-0.03682	-0.28187	0.67141	0.99645	0.77804	1
ADAMTS9	3	0.012606	0.12992	0.96575	0.99931	0.89663	1
ADAMTSL1	3	0.05029	0.48346	0.68959	0.99645	0.62877	1
ADAMTSL2	3	-0.14115	-1.0613	0.1753	0.91154	0.28854	1
ADAMTSL3	3	-0.057705	-0.61819	0.53642	0.99645	0.53645	1
ADAMTSL4	3	-0.033921	-0.32803	0.69115	0.99645	0.74289	1
ADAMTSL5	3	0.072078	0.493	0.54592	0.99645	0.62201	1
ADAP1	3	-0.10309	-0.86145	0.30702	0.97726	0.38899	1
ADAP2	3	-0.10839	-0.85776	0.28417	0.97024	0.39103	1
ADAR	3	0.081518	0.44485	0.48593	0.99645	0.65643	1
ADARB1	3	-0.0042798	-0.046536	0.90565	0.99931	0.96288	1
ADARB2	3	-0.088988	-1.0448	0.36884	0.98853	0.29612	1
ADAT1	3	-0.006717	-0.059058	0.88736	0.99931	0.95291	1
ADAT2	3	-0.22275	-0.9154	0.047259	0.67809	0.35998	1
ADAT3	3	0.36444	2.2819	0.0040587	0.24917	0.022497	1
ADC	3	0.15322	1.2005	0.1768	0.91165	0.22994	1
ADCK1	3	0.13239	1.5569	0.24319	0.95812	0.1195	1
ADCK2	3	-0.12054	-0.93156	0.23958	0.95717	0.35157	1
ADCK3	3	0.10539	1.0308	0.35694	0.98528	0.30263	1
ADCK4	3	-0.046439	-0.38858	0.60625	0.99645	0.69759	1
ADCK5	3	-0.12616	-1.2054	0.2205	0.94112	0.22804	1
ADCY1	3	-0.096841	-0.80519	0.33298	0.97956	0.42071	1
ADCY10	3	-0.0029407	-0.017918	0.91532	0.99931	0.9857	1
ADCY2	3	-0.056429	-0.49847	0.54337	0.99645	0.61816	1
ADCY3	3	-0.04902	-0.39519	0.59035	0.99645	0.6927	1
ADCY4	3	-0.11333	-0.85579	0.26498	0.96152	0.39212	1
ADCY5	3	0.010401	0.09577	0.98171	0.99967	0.9237	1
ADCY6	3	-0.090293	-0.75761	0.3635	0.98702	0.44868	1
ADCY7	3	0.14962	1.2447	0.18715	0.91165	0.21325	1
ADCY8	3	-0.11802	-0.72214	0.24942	0.95812	0.47021	1
ADCY9	3	0.071838	0.62645	0.54737	0.99645	0.53102	1
ADCYAP1	3	-0.031019	-0.36051	0.71116	0.99645	0.71847	1
ADCYAP1R1	3	0.026318	0.20554	0.86173	0.99931	0.83715	1
ADD1	3	-0.0012352	-0.01129	0.927	0.99931	0.99099	1
ADD2	3	-0.043585	-0.46006	0.62426	0.99645	0.64547	1
ADD3	3	-0.09708	-0.54977	0.33209	0.97951	0.58248	1
ADH1A	3	0.072875	0.45078	0.54048	0.99645	0.65215	1
ADH1B	3	0.03158	0.31541	0.82531	0.99889	0.75245	1
ADH4	3	-0.14673	-1.116	0.16151	0.90046	0.26442	1
ADH5	3	0.016139	0.083199	0.93973	0.99931	0.93369	1
ADH6	3	-0.039819	-0.24507	0.65056	0.99645	0.8064	1
ADH7	3	-0.06026	-0.53118	0.52124	0.99645	0.5953	1
ADHFE1	3	0.13771	0.80951	0.22423	0.94207	0.41822	1
ADI1	3	0.15786	1.008	0.16396	0.90183	0.31346	1
ADIG	3	-0.27233	-2.2169	0.019738	0.51	0.026633	1
ADIPOQ	3	-0.015447	-0.10076	0.82136	0.99889	0.91974	1
ADIPOR1	3	0.14724	1.2002	0.19282	0.91506	0.23008	1
ADIPOR2	3	-0.29843	-2.3584	0.012232	0.42308	0.018352	1
ADIRF	3	-0.022603	-0.25511	0.77232	0.99878	0.79864	1
ADK	3	-0.0014558	-0.0075755	0.92528	0.99931	0.99396	1
ADM	3	-0.078689	-1.0355	0.41999	0.99645	0.30043	1
ADM2	3	-0.071353	-0.89063	0.45808	0.99645	0.37313	1
ADM5	3	0.12131	0.77769	0.28528	0.97031	0.43675	1
ADNP	3	0.19072	1.0442	0.093628	0.80228	0.29639	1
ADNP2	3	0.010133	0.10259	0.98349	0.99967	0.91829	1
ADO	3	0.050766	0.39099	0.68692	0.99645	0.69581	1
ADORA1	3	-0.18884	-1.2518	0.082787	0.78663	0.21065	1
ADORA2A	3	-0.066782	-0.63284	0.48371	0.99645	0.52684	1
ADORA2B	3	-0.043219	-0.43251	0.62682	0.99645	0.66537	1
ADORA3	3	-0.011716	-0.087185	0.84933	0.99889	0.93052	1
ADPGK	3	-0.035886	-0.54875	0.67836	0.99645	0.58318	1
ADPRH	3	-0.059454	-0.43175	0.52663	0.99645	0.66592	1
ADPRHL1	3	-0.044608	-0.40639	0.61776	0.99645	0.68446	1
ADPRHL2	3	0.060942	0.56881	0.61865	0.99645	0.56948	1
ADPRM	3	0.072193	0.4148	0.54498	0.99645	0.67829	1
ADRA1A	3	-0.08967	-1.015	0.36617	0.98772	0.31011	1
ADRA1B	3	0.05606	0.67528	0.65006	0.99645	0.4995	1
ADRA1D	3	0.15802	0.99245	0.16346	0.90129	0.32098	1
ADRA2A	3	0.097524	1.001	0.39875	0.99645	0.31685	1
ADRA2B	3	0.072371	0.81674	0.54387	0.99645	0.41408	1
ADRA2C	3	-0.043967	-0.37108	0.62159	0.99645	0.71058	1
ADRB1	3	0.03409	0.3405	0.80763	0.99889	0.73348	1
ADRB2	3	-0.057263	-0.55108	0.53859	0.99645	0.58158	1
ADRB3	3	0.11419	0.8414	0.31658	0.97726	0.40013	1
ADRBK1	3	-0.031779	-0.28907	0.70622	0.99645	0.77253	1
ADRBK2	3	-0.076826	-0.76804	0.42894	0.99645	0.44246	1
ADRM1	3	0.20731	1.5718	0.069832	0.75413	0.116	1
ADSL	3	0.24069	0.6118	0.037362	0.6205	0.54067	1
ADSS	3	-0.35661	-0.46964	0.0048371	0.27103	0.63861	1
ADSSL1	3	-0.04659	-0.41488	0.60547	0.99645	0.67823	1
ADTRP	3	0.081013	0.72369	0.48921	0.99645	0.46926	1
AEBP1	3	0.072876	0.61181	0.54048	0.99645	0.54067	1
AEBP2	3	0.13902	1.1119	0.22017	0.94112	0.26616	1
AEN	3	0.10833	0.98873	0.34232	0.983	0.3228	1
AES	3	0.091224	0.62564	0.43289	0.99645	0.53155	1
AFAP1	3	-0.0098848	-0.092531	0.86384	0.99931	0.92628	1
AFAP1L1	3	-0.06994	-0.14711	0.46625	0.99645	0.88304	1
AFAP1L2	3	0.041506	0.29844	0.74953	0.99796	0.76537	1
AFF1	3	-0.032096	-0.40399	0.70394	0.99645	0.68622	1
AFF2	3	-0.21582	-1.9638	0.05432	0.70644	0.049551	1
AFF3	3	0.026485	0.21388	0.86061	0.99931	0.83064	1
AFF4	3	-0.057231	-0.41536	0.5387	0.99645	0.67788	1
AFG3L2	3	0.26521	1.0874	0.024964	0.56407	0.27687	1
AFM	3	0.027611	0.16849	0.8525	0.99902	0.8662	1
AFMID	3	-0.34719	-1.8354	0.0057267	0.30383	0.066444	1
AFP	3	-0.088206	-0.69589	0.37246	0.9904	0.4865	1
AFTPH	3	-0.066402	-0.40226	0.48549	0.99645	0.68749	1
AGA	3	-0.096194	-0.92492	0.33637	0.98138	0.35501	1
AGAP1	3	0.040881	0.42534	0.75453	0.99796	0.67059	1
AGAP2	3	0.037624	0.29662	0.78183	0.99889	0.76675	1
AGAP3	3	0.097273	0.59784	0.40048	0.99645	0.54995	1
AGAP5	1	0.0013358	0.0087175	0.96397	0.99931	0.99304	1
AGAP6	2	-0.021239	-0.13838	0.81936	0.99889	0.88994	1
AGAP7	1	-0.19512	-0.81525	0.28428	0.97024	0.41493	1
