Gene	beta	fdr	dataset	hit	UP	DOWN
ABHD4	-0.058674	0.99645	top3	NOT	0	0
ABHD5	-0.002065	0.99931	top3	NOT	0	0
ABHD6	0.038011	0.99889	top3	NOT	0	0
ABHD8	0.25997	0.57706	top3	NOT	0	0
ABI1	0.20048	0.77534	top3	NOT	0	0
ABI2	0.0090547	0.99967	top3	NOT	0	0
ABI3	-0.12106	0.95705	top3	NOT	0	0
ABI3BP	-0.098933	0.97726	top3	NOT	0	0
ABL1	-1.0447	0	top3	DOWN	0	1
ABL2	-0.027487	0.99687	top3	NOT	0	0
ABLIM1	0.0041019	0.99931	top3	NOT	0	0
ABLIM2	-0.13991	0.91165	top3	NOT	0	0
ABLIM3	-0.15828	0.87425	top3	NOT	0	0
ABR	0.12965	0.95812	top3	NOT	0	0
ABRA	0.023953	0.99931	top3	NOT	0	0
ABRACL	-0.11302	0.96152	top3	NOT	0	0
ABT1	0.22093	0.70354	top3	NOT	0	0
ABTB1	-0.1005	0.97726	top3	NOT	0	0
ABTB2	-0.18299	0.80228	top3	NOT	0	0
ACAA1	-0.036374	0.99645	top3	NOT	0	0
ACAA2	0.0091352	0.99967	top3	NOT	0	0
ACACA	0.061034	0.99645	top3	NOT	0	0
ACACB	0.14768	0.91506	top3	NOT	0	0
ACAD10	-0.048748	0.99645	top3	NOT	0	0
ACAD11	0.059697	0.99645	top3	NOT	0	0
ACAD8	-0.14319	0.90879	top3	NOT	0	0
ACAD9	0.011361	0.99943	top3	NOT	0	0
ACADL	0.075449	0.99645	top3	NOT	0	0
ACADM	-0.028156	0.99687	top3	NOT	0	0
ACADS	0.065972	0.99645	top3	NOT	0	0
ACADSB	0.1702	0.86499	top3	NOT	0	0
ACADVL	-0.01867	0.99889	top3	NOT	0	0
ACAN	-0.0034109	0.99931	top3	NOT	0	0
ACAP1	0.20962	0.74644	top3	NOT	0	0
ACAP2	0.1633	0.88958	top3	NOT	0	0
ACAP3	-0.035448	0.99645	top3	NOT	0	0
ACAT1	-0.082735	0.99645	top3	NOT	0	0
ACAT2	-0.15862	0.87425	top3	NOT	0	0
ACBD3	-0.10542	0.97621	top3	NOT	0	0
ACBD4	-0.059581	0.99645	top3	NOT	0	0
ACBD5	0.20186	0.7717	top3	NOT	0	0
ACBD6	0.10799	0.983	top3	NOT	0	0
ACBD7	-0.25554	0.57381	top3	NOT	0	0
ACCS	0.20908	0.74784	top3	NOT	0	0
ACCSL	-0.025736	0.99796	top3	NOT	0	0
ACD	-0.025744	0.99796	top3	NOT	0	0
ACE	-0.14864	0.89711	top3	NOT	0	0
ACE2	0.049763	0.99645	top3	NOT	0	0
ACER1	-0.027458	0.99687	top3	NOT	0	0
ACER2	-0.13282	0.92593	top3	NOT	0	0
ACER3	-0.15097	0.89099	top3	NOT	0	0
ACHE	-0.0019263	0.99931	top3	NOT	0	0
ACIN1	-0.078731	0.99645	top3	NOT	0	0
ACKR2	0.053818	0.99645	top3	NOT	0	0
ACKR3	0.068953	0.99645	top3	NOT	0	0
ACKR4	0.18904	0.81189	top3	NOT	0	0
ACLY	0.15475	0.91154	top3	NOT	0	0
ACMSD	0.046376	0.99645	top3	NOT	0	0
ACN9	-0.015643	0.99889	top3	NOT	0	0
ACO1	0.18507	0.82335	top3	NOT	0	0
ACO2	-0.24165	0.61515	top3	NOT	0	0
ACOT1	0.087891	0.99645	top3	NOT	0	0
ACOT11	0.11659	0.97726	top3	NOT	0	0
ACOT12	-0.059772	0.99645	top3	NOT	0	0
ACOT13	-0.21297	0.71177	top3	NOT	0	0
ACOT2	0.02656	0.99931	top3	NOT	0	0
ACOT4	0.10176	0.99221	top3	NOT	0	0
ACOT6	-0.072283	0.99645	top3	NOT	0	0
ACOT7	0.020154	0.99931	top3	NOT	0	0
ACOT8	-0.12164	0.95657	top3	NOT	0	0
ACOT9	-0.0606	0.99645	top3	NOT	0	0
ACOX1	-0.14404	0.90378	top3	NOT	0	0
ACOX2	-0.029813	0.99687	top3	NOT	0	0
ACOX3	-0.0068812	0.99931	top3	NOT	0	0
ACOXL	0.15701	0.90375	top3	NOT	0	0
ACP1	0.043682	0.99687	top3	NOT	0	0
ACP2	0.0091854	0.99967	top3	NOT	0	0
ACP5	-0.043541	0.99645	top3	NOT	0	0
ACP6	-0.2196	0.69495	top3	NOT	0	0
ACPL2	-0.061707	0.99645	top3	NOT	0	0
ACPP	-0.088333	0.99038	top3	NOT	0	0
ACPT	-0.0020106	0.99931	top3	NOT	0	0
ACR	0.09885	0.99645	top3	NOT	0	0
ACRBP	-0.077807	0.99645	top3	NOT	0	0
ACRC	0.014841	0.99931	top3	NOT	0	0
ACRV1	-0.011435	0.99902	top3	NOT	0	0
ACSBG1	-0.10437	0.97726	top3	NOT	0	0
ACSBG2	0.093613	0.99645	top3	NOT	0	0
ACSF2	0.0033215	0.99931	top3	NOT	0	0
ACSF3	-0.045792	0.99645	top3	NOT	0	0
ACSL1	0.032315	0.99889	top3	NOT	0	0
ACSL3	-0.1591	0.87031	top3	NOT	0	0
ACSL4	0.098149	0.99645	top3	NOT	0	0
ACSL5	-0.15321	0.88513	top3	NOT	0	0
ACSL6	0.068981	0.99645	top3	NOT	0	0
ACSM1	-0.19311	0.77018	top3	NOT	0	0
ACSM2A	0.16536	0.88509	top3	NOT	0	0
ACSM2B	0.18703	0.81951	top3	NOT	0	0
ACSM3	-0.11371	0.96152	top3	NOT	0	0
ACSM4	-0.042985	0.99645	top3	NOT	0	0
ACSM5	0.026971	0.99916	top3	NOT	0	0
ACSS1	-0.032315	0.99645	top3	NOT	0	0
ACSS2	-0.049873	0.99645	top3	NOT	0	0
ACSS3	-0.11854	0.95812	top3	NOT	0	0
ACTA1	0.051542	0.99645	top3	NOT	0	0
ACTA2	-0.099893	0.97726	top3	NOT	0	0
ACTB	0.33231	0.3598	top3	NOT	0	0
ACTBL2	0.012309	0.99931	top3	NOT	0	0
ACTC1	0.15352	0.91165	top3	NOT	0	0
ACTG1	0.11124	0.97769	top3	NOT	0	0
ACTG2	-0.058777	0.99645	top3	NOT	0	0
ACTL10	0.042623	0.99687	top3	NOT	0	0
ACTL6A	0.26047	0.57442	top3	NOT	0	0
ACTL6B	-0.048255	0.99645	top3	NOT	0	0
ACTL7A	-0.03658	0.99645	top3	NOT	0	0
ACTL7B	-0.073688	0.99645	top3	NOT	0	0
ACTL8	-0.0084527	0.99931	top3	NOT	0	0
ACTL9	0.061779	0.99645	top3	NOT	0	0
ACTN1	0.097813	0.99645	top3	NOT	0	0
ACTN2	-0.050923	0.99645	top3	NOT	0	0
ACTN4	0.16729	0.88035	top3	NOT	0	0
ACTR10	-0.24712	0.59765	top3	NOT	0	0
ACTR1A	0.26756	0.55058	top3	NOT	0	0
ACTR1B	0.070717	0.99645	top3	NOT	0	0
ACTR2	0.037697	0.99889	top3	NOT	0	0
ACTR3	0.2951	0.44539	top3	NOT	0	0
ACTR3B	0.082295	0.99645	top3	NOT	0	0
ACTR3C	-0.26977	0.52446	top3	NOT	0	0
ACTR5	-0.036748	0.99645	top3	NOT	0	0
ACTR6	-0.093458	0.985	top3	NOT	0	0
ACTR8	-0.27409	0.50364	top3	NOT	0	0
ACTRT1	-0.031782	0.99645	top3	NOT	0	0
ACTRT2	-0.037398	0.99645	top3	NOT	0	0
ACTRT3	-0.15021	0.89573	top3	NOT	0	0
ACVR1	-0.056442	0.99645	top3	NOT	0	0
ACVR1B	0.073651	0.99645	top3	NOT	0	0
ACVR1C	0.0023276	0.99931	top3	NOT	0	0
ACVR2A	-0.12953	0.94075	top3	NOT	0	0
ACVR2B	-0.0091865	0.99931	top3	NOT	0	0
ACVRL1	0.065486	0.99645	top3	NOT	0	0
ACY1	-0.044593	0.99645	top3	NOT	0	0
ACY3	-0.17156	0.83558	top3	NOT	0	0
ACYP1	0.15184	0.91165	top3	NOT	0	0
ACYP2	0.21012	0.74644	top3	NOT	0	0
ADA	-0.15497	0.88481	top3	NOT	0	0
ADAD1	0.0037145	0.99931	top3	NOT	0	0
ADAD2	-0.095836	0.98179	top3	NOT	0	0
ADAL	-0.17781	0.81979	top3	NOT	0	0
ADAM10	-0.029983	0.99645	top3	NOT	0	0
ADAM11	0.034367	0.99889	top3	NOT	0	0
ADAM12	-0.026225	0.99747	top3	NOT	0	0
ADAM15	0.13044	0.95812	top3	NOT	0	0
ADAM17	0.057534	0.99645	top3	NOT	0	0
ADAM18	-0.21908	0.69879	top3	NOT	0	0
ADAM19	0.096616	0.99645	top3	NOT	0	0
ADAM2	-0.055353	0.99645	top3	NOT	0	0
ADAM20	-0.14987	0.89633	top3	NOT	0	0
ADAM21	-0.17545	0.82335	top3	NOT	0	0
ADAM22	0.095677	0.99645	top3	NOT	0	0
ADAM23	0.050701	0.99645	top3	NOT	0	0
ADAM28	0.16171	0.89633	top3	NOT	0	0
ADAM29	-0.097217	0.97951	top3	NOT	0	0
ADAM30	0.16296	0.89099	top3	NOT	0	0
ADAM32	-0.033993	0.99645	top3	NOT	0	0
ADAM33	0.072657	0.99645	top3	NOT	0	0
ADAM7	-0.0097775	0.99931	top3	NOT	0	0
ADAM8	0.25334	0.59657	top3	NOT	0	0
ADAM9	0.020849	0.99931	top3	NOT	0	0
ADAMDEC1	0.056173	0.99645	top3	NOT	0	0
ADAMTS1	-0.04213	0.99645	top3	NOT	0	0
ADAMTS10	0.093977	0.99645	top3	NOT	0	0
ADAMTS12	0.19704	0.78663	top3	NOT	0	0
ADAMTS13	-0.025664	0.99796	top3	NOT	0	0
ADAMTS14	0.011713	0.99943	top3	NOT	0	0
ADAMTS15	0.12375	0.9658	top3	NOT	0	0
ADAMTS16	0.044327	0.99687	top3	NOT	0	0
ADAMTS17	-0.0039225	0.99931	top3	NOT	0	0
ADAMTS18	-0.046603	0.99645	top3	NOT	0	0
ADAMTS19	-0.079372	0.99645	top3	NOT	0	0
ADAMTS2	0.009247	0.99967	top3	NOT	0	0
ADAMTS20	0.08333	0.99645	top3	NOT	0	0
ADAMTS3	0.090843	0.99645	top3	NOT	0	0
ADAMTS4	0.038947	0.99842	top3	NOT	0	0
ADAMTS5	-0.040561	0.99645	top3	NOT	0	0
ADAMTS6	0.028627	0.99889	top3	NOT	0	0
ADAMTS7	-0.12974	0.93842	top3	NOT	0	0
ADAMTS8	-0.03682	0.99645	top3	NOT	0	0
ADAMTS9	0.012606	0.99931	top3	NOT	0	0
ADAMTSL1	0.05029	0.99645	top3	NOT	0	0
ADAMTSL2	-0.14115	0.91154	top3	NOT	0	0
ADAMTSL3	-0.057705	0.99645	top3	NOT	0	0
ADAMTSL4	-0.033921	0.99645	top3	NOT	0	0
ADAMTSL5	0.072078	0.99645	top3	NOT	0	0
ADAP1	-0.10309	0.97726	top3	NOT	0	0
ADAP2	-0.10839	0.97024	top3	NOT	0	0
ADAR	0.081518	0.99645	top3	NOT	0	0
ADARB1	-0.0042798	0.99931	top3	NOT	0	0
ADARB2	-0.088988	0.98853	top3	NOT	0	0
ADAT1	-0.006717	0.99931	top3	NOT	0	0
ADAT2	-0.22275	0.67809	top3	NOT	0	0
ADAT3	0.36444	0.24917	top3	NOT	0	0
ADC	0.15322	0.91165	top3	NOT	0	0
ADCK1	0.13239	0.95812	top3	NOT	0	0
ADCK2	-0.12054	0.95717	top3	NOT	0	0
ADCK3	0.10539	0.98528	top3	NOT	0	0
ADCK4	-0.046439	0.99645	top3	NOT	0	0
ADCK5	-0.12616	0.94112	top3	NOT	0	0
ADCY1	-0.096841	0.97956	top3	NOT	0	0
ADCY10	-0.0029407	0.99931	top3	NOT	0	0
ADCY2	-0.056429	0.99645	top3	NOT	0	0
ADCY3	-0.04902	0.99645	top3	NOT	0	0
ADCY4	-0.11333	0.96152	top3	NOT	0	0
ADCY5	0.010401	0.99967	top3	NOT	0	0
ADCY6	-0.090293	0.98702	top3	NOT	0	0
ADCY7	0.14962	0.91165	top3	NOT	0	0
ADCY8	-0.11802	0.95812	top3	NOT	0	0
ADCY9	0.071838	0.99645	top3	NOT	0	0
ADCYAP1	-0.031019	0.99645	top3	NOT	0	0
ADCYAP1R1	0.026318	0.99931	top3	NOT	0	0
ADD1	-0.0012352	0.99931	top3	NOT	0	0
ADD2	-0.043585	0.99645	top3	NOT	0	0
ADD3	-0.09708	0.97951	top3	NOT	0	0
ADH1A	0.072875	0.99645	top3	NOT	0	0
ADH1B	0.03158	0.99889	top3	NOT	0	0
ADH4	-0.14673	0.90046	top3	NOT	0	0
ADH5	0.016139	0.99931	top3	NOT	0	0
ADH6	-0.039819	0.99645	top3	NOT	0	0
ADH7	-0.06026	0.99645	top3	NOT	0	0
ADHFE1	0.13771	0.94207	top3	NOT	0	0
ADI1	0.15786	0.90183	top3	NOT	0	0
ADIG	-0.27233	0.51	top3	NOT	0	0
ADIPOQ	-0.015447	0.99889	top3	NOT	0	0
ADIPOR1	0.14724	0.91506	top3	NOT	0	0
ADIPOR2	-0.29843	0.42308	top3	NOT	0	0
ADIRF	-0.022603	0.99878	top3	NOT	0	0
ADK	-0.0014558	0.99931	top3	NOT	0	0
ADM	-0.078689	0.99645	top3	NOT	0	0
ADM2	-0.071353	0.99645	top3	NOT	0	0
ADM5	0.12131	0.97031	top3	NOT	0	0
ADNP	0.19072	0.80228	top3	NOT	0	0
ADNP2	0.010133	0.99967	top3	NOT	0	0
ADO	0.050766	0.99645	top3	NOT	0	0
ADORA1	-0.18884	0.78663	top3	NOT	0	0
ADORA2A	-0.066782	0.99645	top3	NOT	0	0
ADORA2B	-0.043219	0.99645	top3	NOT	0	0
ADORA3	-0.011716	0.99889	top3	NOT	0	0
ADPGK	-0.035886	0.99645	top3	NOT	0	0
ADPRH	-0.059454	0.99645	top3	NOT	0	0
ADPRHL1	-0.044608	0.99645	top3	NOT	0	0
ADPRHL2	0.060942	0.99645	top3	NOT	0	0
ADPRM	0.072193	0.99645	top3	NOT	0	0
ADRA1A	-0.08967	0.98772	top3	NOT	0	0
ADRA1B	0.05606	0.99645	top3	NOT	0	0
ADRA1D	0.15802	0.90129	top3	NOT	0	0
ADRA2A	0.097524	0.99645	top3	NOT	0	0
ADRA2B	0.072371	0.99645	top3	NOT	0	0
ADRA2C	-0.043967	0.99645	top3	NOT	0	0
ADRB1	0.03409	0.99889	top3	NOT	0	0
ADRB2	-0.057263	0.99645	top3	NOT	0	0
ADRB3	0.11419	0.97726	top3	NOT	0	0
ADRBK1	-0.031779	0.99645	top3	NOT	0	0
ADRBK2	-0.076826	0.99645	top3	NOT	0	0
ADRM1	0.20731	0.75413	top3	NOT	0	0
ADSL	0.24069	0.6205	top3	NOT	0	0
ADSS	-0.35661	0.27103	top3	NOT	0	0
ADSSL1	-0.04659	0.99645	top3	NOT	0	0
ADTRP	0.081013	0.99645	top3	NOT	0	0
AEBP1	0.072876	0.99645	top3	NOT	0	0
AEBP2	0.13902	0.94112	top3	NOT	0	0
AEN	0.10833	0.983	top3	NOT	0	0
AES	0.091224	0.99645	top3	NOT	0	0
AFAP1	-0.0098848	0.99931	top3	NOT	0	0
AFAP1L1	-0.06994	0.99645	top3	NOT	0	0
AFAP1L2	0.041506	0.99796	top3	NOT	0	0
AFF1	-0.032096	0.99645	top3	NOT	0	0
AFF2	-0.21582	0.70644	top3	NOT	0	0
AFF3	0.026485	0.99931	top3	NOT	0	0
AFF4	-0.057231	0.99645	top3	NOT	0	0
AFG3L2	0.26521	0.56407	top3	NOT	0	0
AFM	0.027611	0.99902	top3	NOT	0	0
AFMID	-0.34719	0.30383	top3	NOT	0	0
AFP	-0.088206	0.9904	top3	NOT	0	0
AFTPH	-0.066402	0.99645	top3	NOT	0	0
AGA	-0.096194	0.98138	top3	NOT	0	0
AGAP1	0.040881	0.99796	top3	NOT	0	0
AGAP2	0.037624	0.99889	top3	NOT	0	0
AGAP3	0.097273	0.99645	top3	NOT	0	0
AGAP5	0.0013358	0.99931	top3	NOT	0	0
AGAP6	-0.021239	0.99889	top3	NOT	0	0
AGAP7	-0.19512	0.97024	top3	NOT	0	0
AGBL1	0.16799	0.87789	top3	NOT	0	0
AGBL2	0.034627	0.99889	top3	NOT	0	0
AGBL3	0.19358	0.80129	top3	NOT	0	0
AGBL4	-0.11656	0.95812	top3	NOT	0	0
AGBL5	-0.018702	0.99889	top3	NOT	0	0
AGER	-0.1955	0.76457	top3	NOT	0	0
AGFG1	0.09974	0.99484	top3	NOT	0	0
AGFG2	0.18089	0.84044	top3	NOT	0	0
AGGF1	0.05704	0.99645	top3	NOT	0	0
AGK	0.030143	0.99889	top3	NOT	0	0
AGL	-0.084792	0.99529	top3	NOT	0	0
AGMAT	-0.10187	0.97726	top3	NOT	0	0
AGMO	-0.0079659	0.99931	top3	NOT	0	0
AGO1	0.14687	0.91782	top3	NOT	0	0
AGO2	-0.10417	0.97726	top3	NOT	0	0
AGO3	0.072455	0.99645	top3	NOT	0	0
AGO4	-0.025569	0.99796	top3	NOT	0	0
AGPAT1	-0.16582	0.84592	top3	NOT	0	0
AGPAT2	0.15106	0.91165	top3	NOT	0	0
AGPAT3	0.11867	0.97685	top3	NOT	0	0
AGPAT4	-0.1076	0.97049	top3	NOT	0	0
AGPAT5	-0.07591	0.99645	top3	NOT	0	0
AGPAT6	-0.13178	0.93318	top3	NOT	0	0
AGPAT9	-0.035485	0.99645	top3	NOT	0	0
AGPS	-0.0024834	0.99931	top3	NOT	0	0
AGR2	0.1312	0.95812	top3	NOT	0	0
AGR3	-0.17382	0.82633	top3	NOT	0	0
AGRN	-0.0066576	0.99931	top3	NOT	0	0
AGRP	-0.024907	0.99796	top3	NOT	0	0
AGT	0.024049	0.99931	top3	NOT	0	0
AGTPBP1	-0.014695	0.99889	top3	NOT	0	0
AGTR1	-0.13708	0.91165	top3	NOT	0	0
AGTR2	0.035174	0.99889	top3	NOT	0	0
AGTRAP	0.042144	0.99687	top3	NOT	0	0
AGXT	-0.038974	0.99645	top3	NOT	0	0
AGXT2	-0.0022804	0.99931	top3	NOT	0	0
AHCTF1	-0.079	0.99645	top3	NOT	0	0
AHCY	-0.059888	0.99645	top3	NOT	0	0
AHCYL1	0.11573	0.97726	top3	NOT	0	0
AHCYL2	0.16344	0.88951	top3	NOT	0	0
AHDC1	0.03713	0.99889	top3	NOT	0	0
AHI1	-0.025596	0.99796	top3	NOT	0	0
AHNAK	0.073209	0.99645	top3	NOT	0	0
AHNAK2	0.015296	0.99931	top3	NOT	0	0
AHR	0.013285	0.99931	top3	NOT	0	0
AHRR	-0.17689	0.82144	top3	NOT	0	0
AHSA1	-0.17228	0.82633	top3	NOT	0	0
AHSA2	-0.22249	0.67809	top3	NOT	0	0
AHSG	-0.16573	0.84592	top3	NOT	0	0
AHSP	0.011496	0.99943	top3	NOT	0	0
AICDA	0.080391	0.99645	top3	NOT	0	0
AIDA	0.016929	0.99931	top3	NOT	0	0
AIF1	-0.085821	0.99308	top3	NOT	0	0
AIF1L	0.30234	0.42857	top3	NOT	0	0
AIFM1	-0.0047153	0.99931	top3	NOT	0	0
AIFM2	-0.054067	0.99645	top3	NOT	0	0
AIFM3	0.24963	0.60436	top3	NOT	0	0
AIG1	0.097351	0.99645	top3	NOT	0	0
AIM1	-0.057848	0.99645	top3	NOT	0	0
AIM2	0.12671	0.96152	top3	NOT	0	0
AIMP1	0.064674	0.99645	top3	NOT	0	0
AIMP2	-0.052323	0.99645	top3	NOT	0	0
AIP	0.018597	0.99931	top3	NOT	0	0
AIPL1	-0.026747	0.99687	top3	NOT	0	0
AIRE	-0.059137	0.99645	top3	NOT	0	0
AJAP1	-0.070962	0.99645	top3	NOT	0	0
AJUBA	0.048197	0.99645	top3	NOT	0	0
AK1	-0.095086	0.983	top3	NOT	0	0
AK2	0.08583	0.99645	top3	NOT	0	0
AK3	0.077107	0.99645	top3	NOT	0	0
AK4	0.21139	0.7426	top3	NOT	0	0
AK5	0.022371	0.99931	top3	NOT	0	0
AK6	-0.56317	0.071429	top3	DOWN	0	1
AK7	0.080955	0.99645	top3	NOT	0	0
AK8	-0.047444	0.99645	top3	NOT	0	0
AK9	-0.12057	0.95717	top3	NOT	0	0
AKAP1	-0.34765	0.30357	top3	NOT	0	0
AKAP10	0.048748	0.99645	top3	NOT	0	0
AKAP11	-0.090901	0.98528	top3	NOT	0	0
AKAP12	-0.15145	0.88966	top3	NOT	0	0
AKAP13	0.18437	0.82558	top3	NOT	0	0
AKAP14	0.029864	0.99889	top3	NOT	0	0
AKAP17A	-0.058759	0.99645	top3	NOT	0	0
AKAP2	-0.017484	0.99889	top3	NOT	0	0
AKAP3	0.090205	0.99645	top3	NOT	0	0
AKAP4	0.087034	0.99645	top3	NOT	0	0
AKAP5	-0.10516	0.97685	top3	NOT	0	0
AKAP6	-0.027793000000000002	0.99687	top3	NOT	0	0
AKAP7	-0.013412	0.99889	top3	NOT	0	0
AKAP8	-0.088972	0.98853	top3	NOT	0	0
AKAP8L	-0.062914	0.99645	top3	NOT	0	0
AKAP9	-0.15581	0.88322	top3	NOT	0	0
AKIP1	0.028709	0.99889	top3	NOT	0	0
AKIRIN1	-0.19138	0.77345	top3	NOT	0	0
AKIRIN2	-0.12145	0.95658	top3	NOT	0	0
AKNA	0.017491	0.99931	top3	NOT	0	0
AKNAD1	0.10959	0.98138	top3	NOT	0	0
AKR1A1	-0.035476	0.99645	top3	NOT	0	0
AKR1B1	-0.043618	0.99645	top3	NOT	0	0
AKR1B10	-0.30604	0.40619	top3	NOT	0	0
AKR1B15	0.02391	0.99931	top3	NOT	0	0
AKR1C1	0.014611	0.99931	top3	NOT	0	0
AKR1C2	0.023095	0.99931	top3	NOT	0	0
AKR1C3	-0.081862	0.99645	top3	NOT	0	0
AKR1C4	0.03733	0.99889	top3	NOT	0	0
AKR1D1	-0.21749	0.70354	top3	NOT	0	0
AKR1E2	-0.050759	0.99645	top3	NOT	0	0
AKR7A2	-0.14946	0.89711	top3	NOT	0	0
AKR7A3	0.13369	0.95705	top3	NOT	0	0
AKT1	0.14478	0.93402	top3	NOT	0	0
AKT1S1	-0.17234	0.82633	top3	NOT	0	0
AKT2	0.10881	0.98219	top3	NOT	0	0
AKT3	-0.0197	0.99889	top3	NOT	0	0
AKTIP	0.11094	0.97939	top3	NOT	0	0
ALAD	-0.11	0.96731	top3	NOT	0	0
ALAS1	-0.20197	0.74644	top3	NOT	0	0
ALAS2	0.074855	0.99645	top3	NOT	0	0
ALB	0.16254	0.89409	top3	NOT	0	0
ALCAM	-0.059021	0.99645	top3	NOT	0	0
ALDH16A1	0.07756	0.99645	top3	NOT	0	0
ALDH18A1	-0.16185	0.85997	top3	NOT	0	0
ALDH1A1	-0.038176	0.99645	top3	NOT	0	0
ALDH1A2	-0.0083277	0.99931	top3	NOT	0	0
