Gene	beta	fdr	dataset	hit
ABCF1	-0.20512	0.7426	top3	NOT
ABCF2	0.13589	0.94982	top3	NOT
ABCF3	0.21629	0.72727	top3	NOT
ABCG1	-0.044077	0.99645	top3	NOT
ABCG2	0.018848	0.99931	top3	NOT
ABCG4	0.061806	0.99645	top3	NOT
ABCG5	-0.11138	0.9658	top3	NOT
ABCG8	0.34509	0.30548	top3	NOT
ABHD1	0.082807	0.99645	top3	NOT
ABHD10	-0.0030271	0.99931	top3	NOT
ABHD11	-0.08214	0.99645	top3	NOT
ABHD12	0.019508	0.99931	top3	NOT
ABHD12B	-0.13634	0.91165	top3	NOT
ABHD13	0.20943	0.74644	top3	NOT
ABHD14A	0.029074	0.99889	top3	NOT
ABHD14B	0.080098	0.99645	top3	NOT
ABHD15	-0.0014079	0.99931	top3	NOT
ABHD16A	-0.028812	0.99687	top3	NOT
ABHD16B	0.057939	0.99645	top3	NOT
ABHD17A	0.21696	0.71944	top3	NOT
ABHD17B	-0.13682	0.91165	top3	NOT
ABHD17C	-0.0064148	0.99931	top3	NOT
ABHD2	0.04907	0.99645	top3	NOT
ABHD3	0.0047398	0.99943	top3	NOT
ABHD4	-0.058674	0.99645	top3	NOT
ABHD5	-0.002065	0.99931	top3	NOT
ABHD6	0.038011	0.99889	top3	NOT
ABHD8	0.25997	0.57706	top3	NOT
ABI1	0.20048	0.77534	top3	NOT
ABI2	0.0090547	0.99967	top3	NOT
ABI3	-0.12106	0.95705	top3	NOT
ABI3BP	-0.098933	0.97726	top3	NOT
ABL1	-1.0447	0	top3	DOWN
ABL2	-0.027487	0.99687	top3	NOT
ABLIM1	0.0041019	0.99931	top3	NOT
ABLIM2	-0.13991	0.91165	top3	NOT
ABLIM3	-0.15828	0.87425	top3	NOT
ABR	0.12965	0.95812	top3	NOT
ABRA	0.023953	0.99931	top3	NOT
ABRACL	-0.11302	0.96152	top3	NOT
ABT1	0.22093	0.70354	top3	NOT
ABTB1	-0.1005	0.97726	top3	NOT
ABTB2	-0.18299	0.80228	top3	NOT
ACAA1	-0.036374	0.99645	top3	NOT
ACAA2	0.0091352	0.99967	top3	NOT
ACACA	0.061034	0.99645	top3	NOT
ACACB	0.14768	0.91506	top3	NOT
ACAD10	-0.048748	0.99645	top3	NOT
ACAD11	0.059697	0.99645	top3	NOT
ACAD8	-0.14319	0.90879	top3	NOT
ACAD9	0.011361	0.99943	top3	NOT
ACADL	0.075449	0.99645	top3	NOT
ACADM	-0.028156	0.99687	top3	NOT
ACADS	0.065972	0.99645	top3	NOT
ACADSB	0.1702	0.86499	top3	NOT
ACADVL	-0.01867	0.99889	top3	NOT
ACAN	-0.0034109	0.99931	top3	NOT
ACAP1	0.20962	0.74644	top3	NOT
ACAP2	0.1633	0.88958	top3	NOT
ACAP3	-0.035448	0.99645	top3	NOT
ACAT1	-0.082735	0.99645	top3	NOT
ACAT2	-0.15862	0.87425	top3	NOT
ACBD3	-0.10542	0.97621	top3	NOT
ACBD4	-0.059581	0.99645	top3	NOT
ACBD5	0.20186	0.7717	top3	NOT
ACBD6	0.10799	0.983	top3	NOT
ACBD7	-0.25554	0.57381	top3	NOT
ACCS	0.20908	0.74784	top3	NOT
ACCSL	-0.025736	0.99796	top3	NOT
ACD	-0.025744	0.99796	top3	NOT
ACE	-0.14864	0.89711	top3	NOT
ACE2	0.049763	0.99645	top3	NOT
ACER1	-0.027458	0.99687	top3	NOT
ACER2	-0.13282	0.92593	top3	NOT
ACER3	-0.15097	0.89099	top3	NOT
ACHE	-0.0019263	0.99931	top3	NOT
ACIN1	-0.078731	0.99645	top3	NOT
ACKR2	0.053818	0.99645	top3	NOT
ACKR3	0.068953	0.99645	top3	NOT
ACKR4	0.18904	0.81189	top3	NOT
ACLY	0.15475	0.91154	top3	NOT
ACMSD	0.046376	0.99645	top3	NOT
ACN9	-0.015643	0.99889	top3	NOT
ACO1	0.18507	0.82335	top3	NOT
ACO2	-0.24165	0.61515	top3	NOT
ACOT1	0.087891	0.99645	top3	NOT
ACOT11	0.11659	0.97726	top3	NOT
ACOT12	-0.059772	0.99645	top3	NOT
ACOT13	-0.21297	0.71177	top3	NOT
ACOT2	0.02656	0.99931	top3	NOT
ACOT4	0.10176	0.99221	top3	NOT
ACOT6	-0.072283	0.99645	top3	NOT
ACOT7	0.020154	0.99931	top3	NOT
ACOT8	-0.12164	0.95657	top3	NOT
ACOT9	-0.0606	0.99645	top3	NOT
ACOX1	-0.14404	0.90378	top3	NOT
ACOX2	-0.029813	0.99687	top3	NOT
ACOX3	-0.0068812	0.99931	top3	NOT
ACOXL	0.15701	0.90375	top3	NOT
ACP1	0.043682	0.99687	top3	NOT
ACP2	0.0091854	0.99967	top3	NOT
ACP5	-0.043541	0.99645	top3	NOT
ACP6	-0.2196	0.69495	top3	NOT
ACPL2	-0.061707	0.99645	top3	NOT
ACPP	-0.088333	0.99038	top3	NOT
ACPT	-0.0020106	0.99931	top3	NOT
ACR	0.09885	0.99645	top3	NOT
ACRBP	-0.077807	0.99645	top3	NOT
ACRC	0.014841	0.99931	top3	NOT
ACRV1	-0.011435	0.99902	top3	NOT
ACSBG1	-0.10437	0.97726	top3	NOT
ACSBG2	0.093613	0.99645	top3	NOT
ACSF2	0.0033215	0.99931	top3	NOT
ACSF3	-0.045792	0.99645	top3	NOT
ACSL1	0.032315	0.99889	top3	NOT
ACSL3	-0.1591	0.87031	top3	NOT
ACSL4	0.098149	0.99645	top3	NOT
ACSL5	-0.15321	0.88513	top3	NOT
ACSL6	0.068981	0.99645	top3	NOT
ACSM1	-0.19311	0.77018	top3	NOT
ACSM2A	0.16536	0.88509	top3	NOT
ACSM2B	0.18703	0.81951	top3	NOT
ACSM3	-0.11371	0.96152	top3	NOT
ACSM4	-0.042985	0.99645	top3	NOT
ACSM5	0.026971	0.99916	top3	NOT
ACSS1	-0.032315	0.99645	top3	NOT
ACSS2	-0.049873	0.99645	top3	NOT
ACSS3	-0.11854	0.95812	top3	NOT
ACTA1	0.051542	0.99645	top3	NOT
ACTA2	-0.099893	0.97726	top3	NOT
ACTB	0.33231	0.3598	top3	NOT
ACTBL2	0.012309	0.99931	top3	NOT
ACTC1	0.15352	0.91165	top3	NOT
ACTG1	0.11124	0.97769	top3	NOT
ACTG2	-0.058777	0.99645	top3	NOT
ACTL10	0.042623	0.99687	top3	NOT
ACTL6A	0.26047	0.57442	top3	NOT
ACTL6B	-0.048255	0.99645	top3	NOT
ACTL7A	-0.03658	0.99645	top3	NOT
ACTL7B	-0.073688	0.99645	top3	NOT
ACTL8	-0.0084527	0.99931	top3	NOT
ACTL9	0.061779	0.99645	top3	NOT
ACTN1	0.097813	0.99645	top3	NOT
ACTN2	-0.050923	0.99645	top3	NOT
ACTN4	0.16729	0.88035	top3	NOT
ACTR10	-0.24712	0.59765	top3	NOT
ACTR1A	0.26756	0.55058	top3	NOT
ACTR1B	0.070717	0.99645	top3	NOT
ACTR2	0.037697	0.99889	top3	NOT
ACTR3	0.2951	0.44539	top3	NOT
ACTR3B	0.082295	0.99645	top3	NOT
ACTR3C	-0.26977	0.52446	top3	NOT
ACTR5	-0.036748	0.99645	top3	NOT
ACTR6	-0.093458	0.985	top3	NOT
ACTR8	-0.27409	0.50364	top3	NOT
ACTRT1	-0.031782	0.99645	top3	NOT
ACTRT2	-0.037398	0.99645	top3	NOT
ACTRT3	-0.15021	0.89573	top3	NOT
ACVR1	-0.056442	0.99645	top3	NOT
ACVR1B	0.073651	0.99645	top3	NOT
ACVR1C	0.0023276	0.99931	top3	NOT
ACVR2A	-0.12953	0.94075	top3	NOT
ACVR2B	-0.0091865	0.99931	top3	NOT
ACVRL1	0.065486	0.99645	top3	NOT
ACY1	-0.044593	0.99645	top3	NOT
ACY3	-0.17156	0.83558	top3	NOT
ACYP1	0.15184	0.91165	top3	NOT
ACYP2	0.21012	0.74644	top3	NOT
ADA	-0.15497	0.88481	top3	NOT
ADAD1	0.0037145	0.99931	top3	NOT
ADAD2	-0.095836	0.98179	top3	NOT
ADAL	-0.17781	0.81979	top3	NOT
ADAM10	-0.029983	0.99645	top3	NOT
ADAM11	0.034367	0.99889	top3	NOT
ADAM12	-0.026225	0.99747	top3	NOT
ADAM15	0.13044	0.95812	top3	NOT
ADAM17	0.057534	0.99645	top3	NOT
ADAM18	-0.21908	0.69879	top3	NOT
ADAM19	0.096616	0.99645	top3	NOT
ADAM2	-0.055353	0.99645	top3	NOT
ADAM20	-0.14987	0.89633	top3	NOT
ADAM21	-0.17545	0.82335	top3	NOT
ADAM22	0.095677	0.99645	top3	NOT
ADAM23	0.050701	0.99645	top3	NOT
ADAM28	0.16171	0.89633	top3	NOT
ADAM29	-0.097217	0.97951	top3	NOT
ADAM30	0.16296	0.89099	top3	NOT
ADAM32	-0.033993	0.99645	top3	NOT
ADAM33	0.072657	0.99645	top3	NOT
ADAM7	-0.0097775	0.99931	top3	NOT
ADAM8	0.25334	0.59657	top3	NOT
ADAM9	0.020849	0.99931	top3	NOT
ADAMDEC1	0.056173	0.99645	top3	NOT
ADAMTS1	-0.04213	0.99645	top3	NOT
ADAMTS10	0.093977	0.99645	top3	NOT
ADAMTS12	0.19704	0.78663	top3	NOT
ADAMTS13	-0.025664	0.99796	top3	NOT
ADAMTS14	0.011713	0.99943	top3	NOT
ADAMTS15	0.12375	0.9658	top3	NOT
ADAMTS16	0.044327	0.99687	top3	NOT
ADAMTS17	-0.0039225	0.99931	top3	NOT
ADAMTS18	-0.046603	0.99645	top3	NOT
ADAMTS19	-0.079372	0.99645	top3	NOT
ADAMTS2	0.009247	0.99967	top3	NOT
ADAMTS20	0.08333	0.99645	top3	NOT
ADAMTS3	0.090843	0.99645	top3	NOT
ADAMTS4	0.038947	0.99842	top3	NOT
ADAMTS5	-0.040561	0.99645	top3	NOT
ADAMTS6	0.028627	0.99889	top3	NOT
ADAMTS7	-0.12974	0.93842	top3	NOT
ADAMTS8	-0.03682	0.99645	top3	NOT
ADAMTS9	0.012606	0.99931	top3	NOT
ADAMTSL1	0.05029	0.99645	top3	NOT
ADAMTSL2	-0.14115	0.91154	top3	NOT
ADAMTSL3	-0.057705	0.99645	top3	NOT
ADAMTSL4	-0.033921	0.99645	top3	NOT
ADAMTSL5	0.072078	0.99645	top3	NOT
ADAP1	-0.10309	0.97726	top3	NOT
ADAP2	-0.10839	0.97024	top3	NOT
ADAR	0.081518	0.99645	top3	NOT
ADARB1	-0.0042798	0.99931	top3	NOT
ADARB2	-0.088988	0.98853	top3	NOT
ADAT1	-0.006717	0.99931	top3	NOT
ADAT2	-0.22275	0.67809	top3	NOT
ADAT3	0.36444	0.24917	top3	NOT
ADC	0.15322	0.91165	top3	NOT
ADCK1	0.13239	0.95812	top3	NOT
ADCK2	-0.12054	0.95717	top3	NOT
ADCK3	0.10539	0.98528	top3	NOT
ADCK4	-0.046439	0.99645	top3	NOT
ADCK5	-0.12616	0.94112	top3	NOT
ADCY1	-0.096841	0.97956	top3	NOT
ADCY10	-0.0029407	0.99931	top3	NOT
ADCY2	-0.056429	0.99645	top3	NOT
ADCY3	-0.04902	0.99645	top3	NOT
ADCY4	-0.11333	0.96152	top3	NOT
ADCY5	0.010401	0.99967	top3	NOT
ADCY6	-0.090293	0.98702	top3	NOT
ADCY7	0.14962	0.91165	top3	NOT
ADCY8	-0.11802	0.95812	top3	NOT
ADCY9	0.071838	0.99645	top3	NOT
ADCYAP1	-0.031019	0.99645	top3	NOT
ADCYAP1R1	0.026318	0.99931	top3	NOT
ADD1	-0.0012352	0.99931	top3	NOT
ADD2	-0.043585	0.99645	top3	NOT
ADD3	-0.09708	0.97951	top3	NOT
ADH1A	0.072875	0.99645	top3	NOT
ADH1B	0.03158	0.99889	top3	NOT
ADH4	-0.14673	0.90046	top3	NOT
ADH5	0.016139	0.99931	top3	NOT
ADH6	-0.039819	0.99645	top3	NOT
ADH7	-0.06026	0.99645	top3	NOT
ADHFE1	0.13771	0.94207	top3	NOT
ADI1	0.15786	0.90183	top3	NOT
ADIG	-0.27233	0.51	top3	NOT
ADIPOQ	-0.015447	0.99889	top3	NOT
ADIPOR1	0.14724	0.91506	top3	NOT
ADIPOR2	-0.29843	0.42308	top3	NOT
ADIRF	-0.022603	0.99878	top3	NOT
ADK	-0.0014558	0.99931	top3	NOT
ADM	-0.078689	0.99645	top3	NOT
ADM2	-0.071353	0.99645	top3	NOT
ADM5	0.12131	0.97031	top3	NOT
ADNP	0.19072	0.80228	top3	NOT
ADNP2	0.010133	0.99967	top3	NOT
ADO	0.050766	0.99645	top3	NOT
ADORA1	-0.18884	0.78663	top3	NOT
ADORA2A	-0.066782	0.99645	top3	NOT
ADORA2B	-0.043219	0.99645	top3	NOT
ADORA3	-0.011716	0.99889	top3	NOT
ADPGK	-0.035886	0.99645	top3	NOT
ADPRH	-0.059454	0.99645	top3	NOT
ADPRHL1	-0.044608	0.99645	top3	NOT
ADPRHL2	0.060942	0.99645	top3	NOT
ADPRM	0.072193	0.99645	top3	NOT
ADRA1A	-0.08967	0.98772	top3	NOT
ADRA1B	0.05606	0.99645	top3	NOT
ADRA1D	0.15802	0.90129	top3	NOT
ADRA2A	0.097524	0.99645	top3	NOT
ADRA2B	0.072371	0.99645	top3	NOT
ADRA2C	-0.043967	0.99645	top3	NOT
ADRB1	0.03409	0.99889	top3	NOT
ADRB2	-0.057263	0.99645	top3	NOT
ADRB3	0.11419	0.97726	top3	NOT
ADRBK1	-0.031779	0.99645	top3	NOT
ADRBK2	-0.076826	0.99645	top3	NOT
ADRM1	0.20731	0.75413	top3	NOT
ADSL	0.24069	0.6205	top3	NOT
ADSS	-0.35661	0.27103	top3	NOT
ADSSL1	-0.04659	0.99645	top3	NOT
ADTRP	0.081013	0.99645	top3	NOT
AEBP1	0.072876	0.99645	top3	NOT
AEBP2	0.13902	0.94112	top3	NOT
AEN	0.10833	0.983	top3	NOT
AES	0.091224	0.99645	top3	NOT
AFAP1	-0.0098848	0.99931	top3	NOT
AFAP1L1	-0.06994	0.99645	top3	NOT
AFAP1L2	0.041506	0.99796	top3	NOT
AFF1	-0.032096	0.99645	top3	NOT
AFF2	-0.21582	0.70644	top3	NOT
AFF3	0.026485	0.99931	top3	NOT
AFF4	-0.057231	0.99645	top3	NOT
AFG3L2	0.26521	0.56407	top3	NOT
AFM	0.027611	0.99902	top3	NOT
AFMID	-0.34719	0.30383	top3	NOT
AFP	-0.088206	0.9904	top3	NOT
AFTPH	-0.066402	0.99645	top3	NOT
AGA	-0.096194	0.98138	top3	NOT
AGAP1	0.040881	0.99796	top3	NOT
AGAP2	0.037624	0.99889	top3	NOT
AGAP3	0.097273	0.99645	top3	NOT
AGAP5	0.0013358	0.99931	top3	NOT
AGAP6	-0.021239	0.99889	top3	NOT
AGAP7	-0.19512	0.97024	top3	NOT
AGBL1	0.16799	0.87789	top3	NOT
AGBL2	0.034627	0.99889	top3	NOT
AGBL3	0.19358	0.80129	top3	NOT
AGBL4	-0.11656	0.95812	top3	NOT
AGBL5	-0.018702	0.99889	top3	NOT
AGER	-0.1955	0.76457	top3	NOT
AGFG1	0.09974	0.99484	top3	NOT
AGFG2	0.18089	0.84044	top3	NOT
AGGF1	0.05704	0.99645	top3	NOT
AGK	0.030143	0.99889	top3	NOT
AGL	-0.084792	0.99529	top3	NOT
AGMAT	-0.10187	0.97726	top3	NOT
AGMO	-0.0079659	0.99931	top3	NOT
AGO1	0.14687	0.91782	top3	NOT
AGO2	-0.10417	0.97726	top3	NOT
AGO3	0.072455	0.99645	top3	NOT
AGO4	-0.025569	0.99796	top3	NOT
AGPAT1	-0.16582	0.84592	top3	NOT
AGPAT2	0.15106	0.91165	top3	NOT
AGPAT3	0.11867	0.97685	top3	NOT
AGPAT4	-0.1076	0.97049	top3	NOT
AGPAT5	-0.07591	0.99645	top3	NOT
AGPAT6	-0.13178	0.93318	top3	NOT
AGPAT9	-0.035485	0.99645	top3	NOT
AGPS	-0.0024834	0.99931	top3	NOT
AGR2	0.1312	0.95812	top3	NOT
AGR3	-0.17382	0.82633	top3	NOT
AGRN	-0.0066576	0.99931	top3	NOT
AGRP	-0.024907	0.99796	top3	NOT
AGT	0.024049	0.99931	top3	NOT
AGTPBP1	-0.014695	0.99889	top3	NOT
AGTR1	-0.13708	0.91165	top3	NOT
AGTR2	0.035174	0.99889	top3	NOT
AGTRAP	0.042144	0.99687	top3	NOT
AGXT	-0.038974	0.99645	top3	NOT
AGXT2	-0.0022804	0.99931	top3	NOT
AHCTF1	-0.079	0.99645	top3	NOT
AHCY	-0.059888	0.99645	top3	NOT
AHCYL1	0.11573	0.97726	top3	NOT
AHCYL2	0.16344	0.88951	top3	NOT
AHDC1	0.03713	0.99889	top3	NOT
AHI1	-0.025596	0.99796	top3	NOT
AHNAK	0.073209	0.99645	top3	NOT
AHNAK2	0.015296	0.99931	top3	NOT
AHR	0.013285	0.99931	top3	NOT
AHRR	-0.17689	0.82144	top3	NOT
AHSA1	-0.17228	0.82633	top3	NOT
AHSA2	-0.22249	0.67809	top3	NOT
AHSG	-0.16573	0.84592	top3	NOT
AHSP	0.011496	0.99943	top3	NOT
AICDA	0.080391	0.99645	top3	NOT
AIDA	0.016929	0.99931	top3	NOT
AIF1	-0.085821	0.99308	top3	NOT
AIF1L	0.30234	0.42857	top3	NOT
AIFM1	-0.0047153	0.99931	top3	NOT
AIFM2	-0.054067	0.99645	top3	NOT
AIFM3	0.24963	0.60436	top3	NOT
AIG1	0.097351	0.99645	top3	NOT
AIM1	-0.057848	0.99645	top3	NOT
AIM2	0.12671	0.96152	top3	NOT
AIMP1	0.064674	0.99645	top3	NOT
AIMP2	-0.052323	0.99645	top3	NOT
AIP	0.018597	0.99931	top3	NOT
AIPL1	-0.026747	0.99687	top3	NOT
AIRE	-0.059137	0.99645	top3	NOT
AJAP1	-0.070962	0.99645	top3	NOT
AJUBA	0.048197	0.99645	top3	NOT
AK1	-0.095086	0.983	top3	NOT
AK2	0.08583	0.99645	top3	NOT
AK3	0.077107	0.99645	top3	NOT
AK4	0.21139	0.7426	top3	NOT
AK5	0.022371	0.99931	top3	NOT
AK6	-0.56317	0.071429	top3	DOWN
AK7	0.080955	0.99645	top3	NOT
AK8	-0.047444	0.99645	top3	NOT
AK9	-0.12057	0.95717	top3	NOT
AKAP1	-0.34765	0.30357	top3	NOT
AKAP10	0.048748	0.99645	top3	NOT
AKAP11	-0.090901	0.98528	top3	NOT
AKAP12	-0.15145	0.88966	top3	NOT
AKAP13	0.18437	0.82558	top3	NOT
AKAP14	0.029864	0.99889	top3	NOT
AKAP17A	-0.058759	0.99645	top3	NOT
AKAP2	-0.017484	0.99889	top3	NOT
AKAP3	0.090205	0.99645	top3	NOT
AKAP4	0.087034	0.99645	top3	NOT
AKAP5	-0.10516	0.97685	top3	NOT
AKAP6	-0.027793000000000002	0.99687	top3	NOT
AKAP7	-0.013412	0.99889	top3	NOT
AKAP8	-0.088972	0.98853	top3	NOT
AKAP8L	-0.062914	0.99645	top3	NOT
AKAP9	-0.15581	0.88322	top3	NOT
AKIP1	0.028709	0.99889	top3	NOT
AKIRIN1	-0.19138	0.77345	top3	NOT
AKIRIN2	-0.12145	0.95658	top3	NOT
AKNA	0.017491	0.99931	top3	NOT
AKNAD1	0.10959	0.98138	top3	NOT
AKR1A1	-0.035476	0.99645	top3	NOT
AKR1B1	-0.043618	0.99645	top3	NOT
AKR1B10	-0.30604	0.40619	top3	NOT
AKR1B15	0.02391	0.99931	top3	NOT
AKR1C1	0.014611	0.99931	top3	NOT
AKR1C2	0.023095	0.99931	top3	NOT
AKR1C3	-0.081862	0.99645	top3	NOT
AKR1C4	0.03733	0.99889	top3	NOT
AKR1D1	-0.21749	0.70354	top3	NOT
AKR1E2	-0.050759	0.99645	top3	NOT
AKR7A2	-0.14946	0.89711	top3	NOT
AKR7A3	0.13369	0.95705	top3	NOT
AKT1	0.14478	0.93402	top3	NOT
AKT1S1	-0.17234	0.82633	top3	NOT
AKT2	0.10881	0.98219	top3	NOT
AKT3	-0.0197	0.99889	top3	NOT
AKTIP	0.11094	0.97939	top3	NOT
ALAD	-0.11	0.96731	top3	NOT
ALAS1	-0.20197	0.74644	top3	NOT
ALAS2	0.074855	0.99645	top3	NOT
ALB	0.16254	0.89409	top3	NOT
ALCAM	-0.059021	0.99645	top3	NOT
ALDH16A1	0.07756	0.99645	top3	NOT
ALDH18A1	-0.16185	0.85997	top3	NOT
ALDH1A1	-0.038176	0.99645	top3	NOT
ALDH1A2	-0.0083277	0.99931	top3	NOT
ALDH1A3	0.011876	0.99931	top3	NOT
ALDH1B1	0.090504	0.99645	top3	NOT
ALDH1L1	0.05311	0.99645	top3	NOT
ALDH1L2	0.19441	0.79848	top3	NOT
ALDH2	-0.079786	0.99645	top3	NOT
ALDH3A1	-0.051764	0.99645	top3	NOT
ALDH3A2	-0.032055	0.99645	top3	NOT
ALDH3B2	0.09912	0.99616	top3	NOT
ALDH4A1	0.18753	0.81827	top3	NOT
ALDH5A1	-0.090596	0.98577	top3	NOT
ALDH6A1	-0.020262	0.99889	top3	NOT
ALDH7A1	-0.070377	0.99645	top3	NOT
ALDH8A1	0.08449	0.99645	top3	NOT
ALDH9A1	-0.064995	0.99645	top3	NOT
ALDOA	0.16673	0.88252	top3	NOT
ALDOB	-0.0088328	0.99931	top3	NOT
ALDOC	-0.032473	0.99645	top3	NOT
ALG1	-0.02217	0.99878	top3	NOT
ALG10	0.0059042	0.99967	top3	NOT
ALG10B	-0.06507	0.99645	top3	NOT
ALG11	0.21086	0.74601	top3	NOT
ALG12	0.032935	0.99889	top3	NOT
ALG13	-0.10963	0.96731	top3	NOT
ALG14	0.16723	0.88072	top3	NOT
ALG1L	-6.838e-4	0.99931	top3	NOT
ALG2	0.49942	0.076923	top3	UP
ALG3	-0.050735	0.99645	top3	NOT
ALG5	-0.21241	0.71309	top3	NOT
ALG6	-0.20636	0.73916	top3	NOT
ALG8	0.067816	0.99645	top3	NOT
ALG9	-0.0097629	0.99931	top3	NOT
ALK	-0.078705	0.99645	top3	NOT
ALKBH1	0.053678	0.99645	top3	NOT
ALKBH2	0.051343	0.99645	top3	NOT
ALKBH3	0.03914	0.99842	top3	NOT
ALKBH4	9.2267e-4	0.99931	top3	NOT
ALKBH5	-0.078696	0.99645	top3	NOT
ALKBH6	0.15246	0.91165	top3	NOT
ALKBH7	0.026059	0.99931	top3	NOT
ALKBH8	-0.087684	0.99226	top3	NOT
ALLC	0.092277	0.99645	top3	NOT
ALMS1	0.12708	0.96152	top3	NOT
ALOX12	0.24337	0.61833	top3	NOT
ALOX12B	0.05728	0.99645	top3	NOT
ALOX15	-0.044407	0.99645	top3	NOT
ALOX15B	-0.070842	0.99645	top3	NOT
ALOX5	-0.091249	0.98528	top3	NOT
ALOX5AP	0.11624	0.97726	top3	NOT
ALOXE3	0.067808	0.99645	top3	NOT
ALPI	0.093374	0.99645	top3	NOT
ALPK1	0.055048	0.99645	top3	NOT
ALPK2	-0.12561	0.94112	top3	NOT
ALPK3	0.041774	0.9977	top3	NOT
ALPL	0.041109	0.99796	top3	NOT
ALPP	0.043996	0.99687	top3	NOT
ALPPL2	-0.068216	0.99645	top3	NOT
ALS2	0.0077806	0.99967	top3	NOT
ALS2CL	0.04457	0.99687	top3	NOT
ALS2CR11	0.026457	0.99931	top3	NOT
ALS2CR12	-0.2199	0.69495	top3	NOT
ALX1	-0.10321	0.97726	top3	NOT
ALX3	-0.026487	0.99687	top3	NOT
ALX4	-0.090113	0.98751	top3	NOT
ALYREF	-0.32679	0.3555	top3	NOT
AMACR	0.0043861	0.99931	top3	NOT
AMBN	0.12438	0.9658	top3	NOT
AMBP	0.049694	0.99645	top3	NOT
AMBRA1	-0.070214	0.99645	top3	NOT
AMD1	-0.098676	0.97726	top3	NOT
AMDHD1	0.057788	0.99645	top3	NOT
AMDHD2	0.0029413	0.99931	top3	NOT
AMELX	-0.065732	0.99645	top3	NOT
AMELY	-0.010078	0.99931	top3	NOT
AMER1	-0.032989	0.99645	top3	NOT
AMER2	0.090648	0.99645	top3	NOT
AMER3	0.099601	0.995	top3	NOT
AMFR	0.07905	0.99645	top3	NOT
AMH	-0.099423	0.97726	top3	NOT
AMHR2	0.06858	0.99645	top3	NOT
AMICA1	0.044225	0.99687	top3	NOT
AMIGO1	0.075219	0.99645	top3	NOT
AMIGO2	-0.067424	0.99645	top3	NOT
AMIGO3	-0.03697	0.99645	top3	NOT
AMMECR1	0.079706	0.99645	top3	NOT
AMMECR1L	-0.31146	0.38745	top3	NOT
AMN	0.026587	0.99931	top3	NOT
